episode,mean_reward,std_reward
0,-500.000000,0.000000
1,-496.350000,15.909981
2,-500.000000,0.000000
3,-500.000000,0.000000
4,-497.900000,9.153688
5,-498.400000,6.974238
6,-499.500000,2.179449
7,-500.000000,0.000000
8,-500.000000,0.000000
9,-494.100000,25.717504
10,-500.000000,0.000000
11,-500.000000,0.000000
12,-500.000000,0.000000
13,-500.000000,0.000000
14,-500.000000,0.000000
15,-500.000000,0.000000
16,-498.900000,4.794789
17,-500.000000,0.000000
18,-489.000000,47.947888
19,-500.000000,0.000000
20,-500.000000,0.000000
21,-500.000000,0.000000
22,-500.000000,0.000000
23,-500.000000,0.000000
24,-498.450000,6.756293
25,-500.000000,0.000000
26,-500.000000,0.000000
27,-498.600000,4.305810
28,-500.000000,0.000000
29,-496.100000,16.999706
30,-491.650000,36.396806
31,-500.000000,0.000000
32,-491.050000,25.006949
33,-500.000000,0.000000
34,-497.500000,10.897247
35,-500.000000,0.000000
36,-500.000000,0.000000
37,-500.000000,0.000000
38,-499.650000,1.525615
39,-495.650000,18.961210
40,-500.000000,0.000000
41,-500.000000,0.000000
42,-500.000000,0.000000
43,-500.000000,0.000000
44,-500.000000,0.000000
45,-500.000000,0.000000
46,-499.950000,0.217945
47,-500.000000,0.000000
48,-500.000000,0.000000
49,-500.000000,0.000000
50,-498.500000,6.538348
51,-498.550000,6.320403
52,-500.000000,0.000000
53,-489.950000,43.806934
54,-498.350000,7.192183
55,-500.000000,0.000000
56,-490.450000,34.986390
57,-500.000000,0.000000
58,-500.000000,0.000000
59,-500.000000,0.000000
60,-500.000000,0.000000
61,-497.650000,10.243413
62,-492.300000,29.106872
63,-500.000000,0.000000
64,-500.000000,0.000000
65,-492.400000,25.344427
66,-499.300000,3.051229
67,-500.000000,0.000000
68,-500.000000,0.000000
69,-495.350000,20.268880
70,-500.000000,0.000000
71,-500.000000,0.000000
72,-500.000000,0.000000
73,-500.000000,0.000000
74,-500.000000,0.000000
75,-494.050000,25.935449
76,-500.000000,0.000000
77,-500.000000,0.000000
78,-499.400000,2.615339
79,-500.000000,0.000000
80,-500.000000,0.000000
81,-493.750000,27.243118
82,-498.650000,5.884514
83,-500.000000,0.000000
84,-500.000000,0.000000
85,-500.000000,0.000000
86,-500.000000,0.000000
87,-487.550000,54.268292
88,-500.000000,0.000000
89,-500.000000,0.000000
90,-500.000000,0.000000
91,-490.650000,29.367116
92,-500.000000,0.000000
93,-491.300000,27.094464
94,-500.000000,0.000000
95,-500.000000,0.000000
96,-500.000000,0.000000
97,-493.350000,28.986678
98,-497.100000,12.640807
99,-500.000000,0.000000
100,-490.800000,27.780569
101,-500.000000,0.000000
102,-500.000000,0.000000
103,-500.000000,0.000000
104,-500.000000,0.000000
105,-500.000000,0.000000
106,-499.550000,1.961505
107,-500.000000,0.000000
108,-495.500000,19.615045
109,-500.000000,0.000000
110,-500.000000,0.000000
111,-500.000000,0.000000
112,-500.000000,0.000000
113,-500.000000,0.000000
114,-500.000000,0.000000
115,-500.000000,0.000000
116,-500.000000,0.000000
117,-493.850000,26.807229
118,-498.600000,6.102459
119,-500.000000,0.000000
120,-499.450000,2.397394
121,-500.000000,0.000000
122,-500.000000,0.000000
123,-500.000000,0.000000
124,-500.000000,0.000000
125,-500.000000,0.000000
126,-500.000000,0.000000
127,-500.000000,0.000000
128,-500.000000,0.000000
129,-500.000000,0.000000
130,-496.950000,13.294642
131,-488.900000,33.636141
132,-495.850000,18.089431
133,-500.000000,0.000000
134,-500.000000,0.000000
135,-500.000000,0.000000
136,-491.650000,28.279454
137,-500.000000,0.000000
138,-500.000000,0.000000
139,-484.100000,57.230149
140,-500.000000,0.000000
141,-500.000000,0.000000
142,-489.500000,31.658332
143,-500.000000,0.000000
144,-497.400000,11.333137
145,-500.000000,0.000000
146,-500.000000,0.000000
147,-495.300000,15.585570
148,-500.000000,0.000000
149,-500.000000,0.000000
150,-500.000000,0.000000
151,-500.000000,0.000000
152,-500.000000,0.000000
153,-500.000000,0.000000
154,-500.000000,0.000000
155,-499.900000,0.435890
156,-493.700000,27.461063
157,-491.950000,35.089136
158,-495.500000,19.615045
159,-497.400000,11.333137
160,-500.000000,0.000000
161,-500.000000,0.000000
162,-500.000000,0.000000
163,-497.350000,11.551082
164,-497.850000,9.371633
165,-500.000000,0.000000
166,-500.000000,0.000000
167,-500.000000,0.000000
168,-497.050000,12.858752
169,-500.000000,0.000000
170,-500.000000,0.000000
171,-500.000000,0.000000
172,-500.000000,0.000000
173,-500.000000,0.000000
174,-500.000000,0.000000
175,-494.150000,25.499559
176,-497.050000,12.858752
177,-496.050000,17.217651
178,-498.300000,7.410128
179,-500.000000,0.000000
180,-500.000000,0.000000
181,-491.700000,36.178861
182,-495.250000,20.704770
183,-495.100000,21.358605
184,-499.500000,2.179449
185,-492.800000,31.384072
186,-500.000000,0.000000
187,-500.000000,0.000000
188,-500.000000,0.000000
189,-500.000000,0.000000
190,-498.200000,7.846018
