episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
106,0,0.456776,0.003687,0.010001,0.483554,0
107,1,4.512574,0.002949,0.018589,0.455171,1
108,1,0.010000,0.002360,0.050000,0.434678,0
109,1,0.010000,0.002100,0.010000,0.419932,1
110,1,0.010000,0.002191,0.010000,0.413928,1
111,1,0.010000,0.002523,0.010000,0.415989,0
112,0,0.024989,0.002018,0.010000,0.423859,0
113,1,3.291404,0.001615,0.010000,0.412100,1
114,1,0.010000,0.001499,0.050000,0.403506,1
115,1,0.010000,0.001706,0.010000,0.401170,0
116,1,0.017216,0.002132,0.010000,0.405380,1
117,1,0.097498,0.002698,0.010000,0.414647,1
118,1,0.349550,0.003346,0.010000,0.428217,1
119,1,0.466886,0.004032,0.010434,0.445439,1
120,1,0.409085,0.004722,0.020809,0.465471,0
121,1,0.417137,0.005395,0.012455,0.487229,1
122,1,0.400065,0.006034,0.013074,0.509504,1
123,1,0.392375,0.006629,0.011901,0.531157,1
124,1,0.382071,0.007173,0.011524,0.551296,0
125,1,0.373025,0.007662,0.011130,0.569351,1
126,0,0.364060,0.006216,0.010867,0.585066,0
127,0,5.592851,0.004972,0.010666,0.537324,0
128,0,0.010000,0.003978,0.050000,0.495413,0
129,1,0.094157,0.003182,0.010000,0.463836,0
130,1,0.409432,0.002546,0.010000,0.440911,1
131,1,0.527522,0.002037,0.012479,0.424424,1
132,1,0.446875,0.001629,0.037818,0.412510,0
133,0,0.469292,0.001303,0.016754,0.403808,0
134,1,4.688843,0.001043,0.021388,0.397371,1
135,1,0.010000,0.000834,0.050000,0.392550,1
136,1,0.010000,0.000667,0.010000,0.388899,1
137,1,0.010000,0.000764,0.010000,0.386106,0
138,1,0.010000,0.001140,0.010000,0.387715,0
139,1,0.010000,0.001698,0.010000,0.394309,0
140,1,0.050737,0.002366,0.010000,0.405216,0
141,1,0.207019,0.003090,0.010000,0.420079,1
142,1,0.419632,0.003832,0.010006,0.438422,0
143,1,0.394958,0.004562,0.013293,0.459450,1
144,1,0.389932,0.005261,0.011642,0.482060,1
145,1,0.378996,0.005916,0.011420,0.505005,1
146,1,0.370257,0.006517,0.011033,0.527129,0
147,1,0.361344,0.007062,0.010800,0.547546,0
148,1,0.352869,0.007547,0.010615,0.565716,1
149,1,0.344666,0.007973,0.010479,0.581421,0
150,1,0.336753,0.008342,0.010375,0.594684,1
151,1,0.329111,0.008656,0.010296,0.605671,0
152,1,0.321728,0.008918,0.010236,0.614621,0
153,1,0.314594,0.009131,0.010189,0.621793,1
154,1,0.307697,0.009301,0.010153,0.627432,1
155,1,0.301026,0.009429,0.010125,0.631759,1
156,1,0.294572,0.009521,0.010102,0.634964,1
157,1,0.288325,0.009579,0.010084,0.637205,1
158,1,0.282277,0.009608,0.010070,0.638614,0
159,1,0.276418,0.009610,0.010058,0.639300,1
160,1,0.270742,0.009589,0.010049,0.639352,1
161,1,0.265241,0.009547,0.010041,0.638845,1
162,1,0.259907,0.009487,0.010035,0.637839,0
163,1,0.254734,0.009412,0.010030,0.636387,0
164,1,0.249716,0.009323,0.010025,0.634533,1
165,1,0.244845,0.009222,0.010022,0.632317,1
166,1,0.240118,0.009112,0.010019,0.629772,1
167,1,0.235527,0.008994,0.010016,0.626931,0
168,1,0.231067,0.008869,0.010014,0.623821,1
169,0,0.226735,0.007095,0.010013,0.620470,1
170,1,7.080831,0.005676,0.010011,0.566800,0
171,1,0.010000,0.004541,0.050000,0.518990,1
172,1,0.010000,0.003685,0.010000,0.481377,1
173,1,0.010000,0.003216,0.010000,0.455109,1
174,1,0.010000,0.003025,0.010000,0.441830,1
175,1,0.010000,0.003030,0.010000,0.436688,1
176,1,0.010000,0.003167,0.010000,0.436810,0
177,1,0.010000,0.003388,0.010000,0.440483,1
178,0,0.010000,0.002710,0.010000,0.446589,0
179,1,0.018453,0.002168,0.010000,0.428509,0
180,1,0.050380,0.001734,0.010000,0.415472,0
181,1,0.116536,0.001388,0.010000,0.405982,1
182,1,0.200575,0.001110,0.010000,0.398987,1
183,1,0.246228,0.001069,0.010005,0.393766,0
184,1,0.251822,0.001242,0.010020,0.393014,1
185,1,0.248021,0.001557,0.010023,0.396210,1
186,1,0.243319,0.001957,0.010021,0.402329,0
187,1,0.238649,0.002401,0.010018,0.410740,0
188,1,0.234102,0.002861,0.010016,0.420924,1
189,1,0.229684,0.003315,0.010014,0.432373,0
190,1,0.225390,0.003748,0.010012,0.444563,1
191,1,0.221217,0.004152,0.010011,0.456978,0
192,1,0.217160,0.004519,0.010009,0.469152,0
193,1,0.213215,0.004848,0.010008,0.480697,1
194,1,0.209377,0.005137,0.010007,0.491330,1
195,1,0.205643,0.005386,0.010007,0.500866,0
196,1,0.202009,0.005597,0.010006,0.509208,1
197,1,0.198471,0.005773,0.010005,0.516334,1
198,1,0.195027,0.005914,0.010005,0.522269,0
199,1,0.191672,0.006025,0.010004,0.527076,1
200,1,0.188404,0.006107,0.010004,0.530834,1
201,1,0.185220,0.006164,0.010003,0.533636,1
202,1,0.182116,0.006198,0.010003,0.535575,0
203,1,0.179091,0.006213,0.010003,0.536743,0
204,1,0.176141,0.006209,0.010003,0.537229,0
205,1,0.173264,0.006191,0.010002,0.537114,0
206,1,0.170458,0.006158,0.010002,0.536475,1
207,1,0.167720,0.006115,0.010002,0.535381,0
208,1,0.165048,0.006061,0.010002,0.533896,1
209,1,0.162441,0.005999,0.010002,0.532078,1
210,1,0.159895,0.005931,0.010002,0.529979,0
211,1,0.157409,0.005856,0.010001,0.527645,0
212,1,0.154981,0.005778,0.010001,0.525119,1
213,1,0.152610,0.005695,0.010001,0.522439,0
214,1,0.150293,0.005610,0.010001,0.519639,0
215,1,0.148030,0.005522,0.010001,0.516748,1
216,1,0.145817,0.005433,0.010001,0.513792,0
217,1,0.143654,0.005344,0.010001,0.510796,1
218,1,0.141540,0.005254,0.010001,0.507778,1
219,1,0.139472,0.005163,0.010001,0.504757,1
220,1,0.137450,0.005074,0.010001,0.501747,1
221,1,0.135472,0.004984,0.010001,0.498762,1
222,1,0.133537,0.004896,0.010001,0.495811,0
223,1,0.131643,0.004809,0.010001,0.492905,1
224,1,0.129790,0.004723,0.010001,0.490049,0
225,1,0.127977,0.004638,0.010001,0.487251,0
226,1,0.126201,0.004555,0.010001,0.484514,1
227,1,0.124462,0.004474,0.010001,0.481843,0
228,1,0.122760,0.004394,0.010001,0.479239,1
229,1,0.121093,0.004315,0.010000,0.476705,1
230,0,0.119459,0.003452,0.010000,0.474242,0
231,1,8.474036,0.002762,0.010000,0.448419,0
232,1,0.010000,0.002210,0.050000,0.429825,1
233,1,0.010000,0.001768,0.010000,0.416425,1
234,1,0.010000,0.001414,0.010000,0.406680,1
235,1,0.010000,0.001131,0.010000,0.399504,0
236,1,0.010000,0.000905,0.010000,0.394154,0
237,1,0.010000,0.000724,0.010000,0.390118,1
238,1,0.010000,0.000619,0.010000,0.387041,0
239,1,0.010000,0.000672,0.010000,0.385316,1
240,1,0.010000,0.000831,0.010000,0.386186,0
241,1,0.010000,0.001056,0.010000,0.388848,0
242,1,0.010000,0.001319,0.010000,0.392795,0
243,1,0.010000,0.001596,0.010000,0.397658,0
244,1,0.010000,0.001875,0.010000,0.403136,1
245,0,0.010000,0.001500,0.010000,0.408964,0
246,1,0.010000,0.001200,0.010000,0.401195,0
247,1,0.010000,0.000960,0.010000,0.395421,1
248,1,0.010000,0.000768,0.010000,0.391077,0
249,1,0.010000,0.000614,0.010000,0.387775,0
250,1,0.016183,0.000491,0.010000,0.385242,0
251,1,0.028224,0.000393,0.010000,0.383283,1
252,1,0.046360,0.000315,0.010000,0.381758,0
253,1,0.069988,0.000390,0.010000,0.380565,1
254,1,0.095174,0.000594,0.010000,0.381706,0
255,1,0.116203,0.000878,0.010000,0.384913,1
256,1,0.129758,0.001207,0.010000,0.389658,1
257,1,0.136518,0.001554,0.010001,0.395556,1
258,1,0.138907,0.001901,0.010001,0.402281,1
259,1,0.138982,0.002234,0.010001,0.409524,1
260,1,0.137949,0.002546,0.010001,0.416993,0
261,1,0.136420,0.002831,0.010001,0.424425,0
262,0,0.134681,0.002265,0.010001,0.431589,0
263,1,8.256063,0.001812,0.010001,0.417701,1
264,1,0.010000,0.001449,0.050000,0.407613,0
265,1,0.010000,0.001159,0.010000,0.400195,1
266,1,0.010000,0.000928,0.010000,0.394672,1
267,1,0.010000,0.000742,0.010000,0.390511,0
268,1,0.010000,0.000594,0.010000,0.387342,0
269,1,0.010000,0.000542,0.010000,0.384908,0
270,1,0.010000,0.000661,0.010000,0.384076,1
271,0,0.010000,0.000529,0.010000,0.386005,0
272,1,0.010000,0.000423,0.010000,0.383875,0
273,1,0.010000,0.000339,0.010000,0.382220,1
274,1,0.010000,0.000271,0.010000,0.380927,0
275,1,0.010000,0.000217,0.010000,0.379912,0
276,1,0.010000,0.000173,0.010000,0.379113,1
277,1,0.010000,0.000139,0.010000,0.378482,0
278,0,0.010000,0.000111,0.010000,0.377982,0
279,1,5.236213,0.000089,0.010000,0.377585,1
280,1,0.010000,0.000071,0.050000,0.377270,1
281,1,0.010000,0.000057,0.010000,0.377019,1
282,1,0.010000,0.000045,0.010000,0.376819,0
283,1,0.010000,0.000036,0.010000,0.376660,1
284,1,0.010000,0.000029,0.010000,0.376533,1
285,1,0.010000,0.000150,0.010000,0.376431,0
286,1,0.010000,0.000446,0.010000,0.378142,0
287,1,0.010000,0.000851,0.010000,0.382572,0
288,1,0.010000,0.001315,0.010000,0.389184,1
289,1,0.010000,0.001803,0.010000,0.397595,0
290,1,0.010000,0.002290,0.010000,0.407436,0
291,1,0.010000,0.002757,0.010000,0.418288,1
292,1,0.010000,0.003193,0.010000,0.429700,1
293,1,0.010000,0.003592,0.010000,0.441214,1
294,1,0.016126,0.003949,0.010000,0.452413,0
295,1,0.029407,0.004262,0.010000,0.462954,1
296,1,0.050172,0.004533,0.010000,0.472585,0
297,1,0.077719,0.004763,0.010000,0.481142,1
298,1,0.106658,0.004953,0.010000,0.488548,1
299,1,0.129462,0.005107,0.010000,0.494785,1
300,1,0.142717,0.005228,0.010001,0.499885,1
301,1,0.148337,0.005319,0.010001,0.503912,1
302,1,0.149651,0.005383,0.010001,0.506948,0
303,1,0.148947,0.005422,0.010001,0.509084,0
304,0,0.147382,0.004338,0.010001,0.510415,0
305,1,8.076528,0.003470,0.010001,0.474939,0
306,1,0.010000,0.002776,0.050000,0.448923,1
307,1,0.010000,0.002221,0.010000,0.430187,1
308,1,0.010000,0.001777,0.010000,0.416687,0
309,0,0.010000,0.001421,0.010000,0.406871,0
310,1,0.010000,0.001137,0.010000,0.399646,1
311,1,0.010000,0.000910,0.010000,0.394261,1
312,1,0.010000,0.000728,0.010000,0.390199,1
313,1,0.010000,0.000582,0.010000,0.387103,0
314,1,0.010000,0.000466,0.010000,0.384723,0
315,1,0.010000,0.000373,0.010000,0.382880,0
316,1,0.010000,0.000298,0.010000,0.381444,1
317,1,0.010000,0.000429,0.010000,0.380318,0
318,1,0.010000,0.000712,0.010000,0.382315,1
319,1,0.017292,0.001089,0.010000,0.386848,0
320,1,0.033535,0.001515,0.010000,0.393375,1
321,1,0.059950,0.001959,0.010000,0.401490,1
322,1,0.094888,0.002401,0.010000,0.410804,1
323,1,0.129106,0.002823,0.010000,0.420913,0
324,1,0.152268,0.003217,0.010001,0.431399,1
325,1,0.162875,0.003576,0.010001,0.441864,1
326,0,0.165781,0.002861,0.010002,0.451956,0
327,1,7.785452,0.002289,0.010002,0.432367,1
328,1,0.010000,0.001831,0.050000,0.418263,1
329,1,0.010000,0.001465,0.010000,0.408023,0
330,1,0.010000,0.001172,0.010000,0.400499,1
331,1,0.010000,0.000937,0.010000,0.394900,1
332,1,0.010000,0.000908,0.010000,0.390683,1
333,1,0.010000,0.001061,0.010000,0.390178,0
334,1,0.010000,0.001330,0.010000,0.392870,1
335,1,0.010000,0.001670,0.010000,0.397882,0
336,1,0.010000,0.002045,0.010000,0.404642,0
337,1,0.010000,0.002430,0.010000,0.412695,0
338,1,0.010000,0.002808,0.010000,0.421618,1
339,1,0.010000,0.003167,0.010000,0.431007,0
340,1,0.010000,0.003498,0.010000,0.440483,0
341,1,0.010000,0.003798,0.010000,0.449714,1
342,1,0.010000,0.004063,0.010000,0.458430,0
343,1,0.010000,0.004294,0.010000,0.466429,1
344,1,0.010000,0.004491,0.010000,0.473578,0
345,1,0.010000,0.004656,0.010000,0.479805,1
346,1,0.010000,0.004790,0.010000,0.485089,1
347,1,0.010000,0.004897,0.010000,0.489445,0
348,1,0.010000,0.004977,0.010000,0.492915,1
349,1,0.010000,0.005034,0.010000,0.495559,0
350,1,0.010000,0.005070,0.010000,0.497446,0
351,1,0.010000,0.005088,0.010000,0.498650,1
352,1,0.010000,0.005090,0.010000,0.499244,1
353,1,0.010000,0.005078,0.010000,0.499302,0
354,0,0.010000,0.004062,0.010000,0.498893,0
355,1,5.470964,0.003250,0.010000,0.466396,0
356,1,0.010000,0.002600,0.050000,0.442755,0
357,1,0.010000,0.002080,0.010000,0.425751,1
358,1,0.010000,0.001664,0.010000,0.413474,1
359,1,0.010000,0.001331,0.010000,0.404516,1
360,1,0.010000,0.001065,0.010000,0.397898,1
361,1,0.010000,0.000936,0.010000,0.392947,1
362,1,0.010000,0.000983,0.010000,0.390659,1
363,1,0.010000,0.001148,0.010000,0.391491,0
364,1,0.010000,0.001387,0.010000,0.394468,1
365,1,0.010000,0.001668,0.010000,0.398982,1
366,1,0.010000,0.001966,0.010000,0.404598,1
367,1,0.010000,0.002266,0.010000,0.410953,0
368,1,0.010000,0.002555,0.010000,0.417732,0
369,1,0.010000,0.002826,0.010000,0.424652,0
370,1,0.010000,0.003074,0.010000,0.431469,1
371,1,0.010000,0.003296,0.010000,0.437981,0
372,1,0.010000,0.003491,0.010000,0.444035,0
373,1,0.010000,0.003659,0.010000,0.449520,1
374,1,0.010000,0.003802,0.010000,0.454369,0
375,1,0.012625,0.003919,0.010000,0.458550,1
376,1,0.019950,0.004014,0.010000,0.462060,0
377,1,0.030377,0.004087,0.010000,0.464917,0
378,1,0.044007,0.004141,0.010000,0.467155,0
379,1,0.059901,0.004178,0.010000,0.468817,1
380,1,0.075997,0.004199,0.010000,0.469955,0
381,1,0.089909,0.004207,0.010000,0.470619,0
382,1,0.100141,0.004203,0.010000,0.470865,1
383,1,0.106583,0.004189,0.010000,0.470742,1
384,1,0.110026,0.004166,0.010000,0.470300,0
385,1,0.111449,0.004135,0.010000,0.469586,1
386,1,0.111639,0.004098,0.010000,0.468641,1
387,1,0.111120,0.004056,0.010000,0.467504,1
388,1,0.110209,0.004009,0.010000,0.466210,0
389,1,0.109089,0.003959,0.010000,0.464789,0
390,1,0.107863,0.003906,0.010000,0.463270,1
391,1,0.106589,0.003851,0.010000,0.461676,1
392,1,0.105298,0.003795,0.010000,0.460027,0
393,1,0.104009,0.003737,0.010000,0.458343,1
394,1,0.102730,0.003678,0.010000,0.456638,1
395,1,0.101468,0.003620,0.010000,0.454925,1
396,1,0.100225,0.003561,0.010000,0.453215,1
397,1,0.099002,0.003502,0.010000,0.451518,1
398,1,0.097800,0.003444,0.010000,0.449840,1
399,1,0.096619,0.003387,0.010000,0.448189,0
400,1,0.095460,0.003330,0.010000,0.446568,1
401,1,0.094320,0.003274,0.010000,0.444982,1
402,1,0.093202,0.003219,0.010000,0.443433,0
403,1,0.092103,0.003166,0.010000,0.441923,0
404,1,0.091023,0.003113,0.010000,0.440454,0
405,1,0.089963,0.003061,0.010000,0.439027,1
406,1,0.088921,0.003011,0.010000,0.437641,1
407,1,0.087898,0.002962,0.010000,0.436298,1
408,1,0.086892,0.002914,0.010000,0.434997,0
409,1,0.085904,0.002867,0.010000,0.433737,1
410,1,0.084933,0.002821,0.010000,0.432517,1
411,1,0.083978,0.002776,0.010000,0.431337,0
412,1,0.083039,0.002733,0.010000,0.430195,0
413,1,0.082116,0.002691,0.010000,0.429091,1
414,1,0.081209,0.002650,0.010000,0.428023,0
415,1,0.080317,0.002609,0.010000,0.426990,0
416,1,0.079440,0.002570,0.010000,0.425991,0
417,0,0.078577,0.002056,0.010000,0.425025,0
