Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -157.63; Last 100 Avg Ret: -179.36; Var: 0.00111789; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -475.92; Last 100 Avg Ret: -198.09; Var: 0.00188459; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -442.28; Last 100 Avg Ret: -203.07; Var: 0.00294654; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -18.82; Last 100 Avg Ret: -184.88; Var: 0.00244471; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -86.28; Last 100 Avg Ret: -190.87; Var: 0.00303064; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -231.89; Last 100 Avg Ret: -196.72; Var: 0.00183697; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -206.95; Last 100 Avg Ret: -200.18; Var: 0.00460576; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -219.79; Last 100 Avg Ret: -196.88; Var: 0.00171220; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -340.82; Last 100 Avg Ret: -190.12; Var: 0.00119463; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -168.08; Last 100 Avg Ret: -183.85; Var: 0.00144123; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -307.98; Last 100 Avg Ret: -179.40; Var: 0.00103472; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -385.58; Last 100 Avg Ret: -180.72; Var: 0.00083225; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -147.24; Last 100 Avg Ret: -181.87; Var: 0.00080387; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
