episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
106,1,0.251452,0.002179,0.010000,0.421320,0
107,1,0.606224,0.002284,0.010023,0.415733,1
108,1,0.440935,0.002627,0.048413,0.418160,1
109,0,0.515313,0.002101,0.015812,0.426418,0
110,1,4.419123,0.001681,0.034515,0.413958,0
111,1,0.010000,0.001632,0.050000,0.404871,1
112,1,0.010000,0.001884,0.010000,0.403862,0
113,1,0.010000,0.002339,0.010000,0.409159,0
114,1,0.010000,0.002924,0.010000,0.419450,0
115,1,0.033654,0.003583,0.010000,0.434012,0
116,1,0.169359,0.004274,0.010000,0.452146,0
117,1,0.439394,0.004967,0.010002,0.472932,0
118,1,0.428326,0.005640,0.015586,0.495219,0
119,1,0.417214,0.006278,0.014172,0.517767,0
120,1,0.406716,0.006872,0.013081,0.539454,1
121,1,0.396545,0.007415,0.012296,0.559436,1
122,1,0.386777,0.007904,0.011718,0.577209,1
123,1,0.377362,0.008339,0.011296,0.592577,1
124,0,0.368292,0.006853,0.010985,0.605572,0
125,1,5.550932,0.005948,0.010755,0.558806,0
126,0,0.010000,0.004759,0.050000,0.528246,0
127,1,0.010000,0.003807,0.010000,0.488412,1
128,1,0.010000,0.003046,0.010000,0.458710,1
129,1,0.018055,0.002595,0.010000,0.437223,1
130,1,0.088228,0.002527,0.010000,0.425645,1
131,1,0.291727,0.002724,0.010000,0.423964,1
132,1,0.424440,0.003099,0.010077,0.428870,1
133,1,0.382587,0.003583,0.013756,0.438644,1
134,1,0.383250,0.004129,0.011147,0.452164,0
135,1,0.371226,0.004698,0.011170,0.468437,1
136,0,0.363084,0.003758,0.010823,0.486441,0
137,0,5.603949,0.003007,0.010647,0.457272,0
138,1,0.010000,0.002405,0.050000,0.436189,0
139,0,0.010000,0.001924,0.010000,0.421022,0
140,0,0.503230,0.001539,0.010000,0.410036,0
141,1,4.337909,0.001232,0.030968,0.401986,1
142,1,0.010000,0.000985,0.050000,0.396012,1
143,1,0.010000,0.000788,0.010000,0.391524,1
144,1,0.010000,0.000631,0.010000,0.388117,0
145,1,0.010000,0.000504,0.010000,0.385505,1
146,1,0.053410,0.000501,0.010000,0.383487,1
147,1,0.251185,0.000819,0.010000,0.383438,0
148,1,0.495529,0.001349,0.010023,0.388633,1
149,0,0.416416,0.001079,0.028661,0.398248,0
150,0,4.911084,0.000864,0.013013,0.393210,0
151,1,0.010000,0.000691,0.050000,0.389401,1
152,1,0.010000,0.000553,0.010000,0.386492,0
153,0,0.023263,0.000442,0.010000,0.384251,0
154,1,2.915605,0.000354,0.010000,0.382513,0
155,1,0.010000,0.000283,0.050000,0.381156,1
156,1,0.011070,0.000226,0.010000,0.380093,1
157,1,0.079451,0.000340,0.010000,0.379256,0
158,1,0.367210,0.000748,0.010000,0.380955,1
159,1,0.538011,0.001350,0.010731,0.387446,1
160,1,0.436805,0.002069,0.040310,0.398257,0
161,1,0.469632,0.002850,0.015223,0.413235,0
162,0,0.436619,0.002280,0.021472,0.432082,0
163,1,4.845279,0.001963,0.015198,0.418057,1
164,1,0.010000,0.002024,0.050000,0.410891,0
165,1,0.010000,0.002344,0.010000,0.412225,1
166,1,0.010000,0.002836,0.010000,0.419573,1
167,1,0.010000,0.003432,0.010000,0.431730,0
