40: Ret: -274.50; Last 100 Avg Ret: -269.36; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
41: Ret: -143.77; Last 100 Avg Ret: -266.30; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
42: Ret: -396.25; Last 100 Avg Ret: -269.39; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
43: Ret: -304.90; Last 100 Avg Ret: -270.22; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
44: Ret: -25.26; Last 100 Avg Ret: -264.65; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
45: Ret: -231.84; Last 100 Avg Ret: -263.92; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
46: Ret: -234.70; Last 100 Avg Ret: -263.29; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
47: Ret: -151.05; Last 100 Avg Ret: -260.90; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 3; Solved: N
48: Ret: -289.10; Last 100 Avg Ret: -261.49; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
49: Ret: -208.24; Last 100 Avg Ret: -260.40; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
50: Ret: -151.05; Last 100 Avg Ret: -258.21; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
51: Ret: -156.49; Last 100 Avg Ret: -256.22; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
52: Ret: -237.46; Last 100 Avg Ret: -255.86; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
53: Ret: -77.57; Last 100 Avg Ret: -252.49; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
54: Ret: -289.11; Last 100 Avg Ret: -253.17; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
55: Ret: -371.18; Last 100 Avg Ret: -255.32; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
56: Ret: -18.96; Last 100 Avg Ret: -251.10; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
57: Ret: -87.14; Last 100 Avg Ret: -248.22; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
58: Ret: -163.86; Last 100 Avg Ret: -246.76; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
59: Ret: -263.13; Last 100 Avg Ret: -247.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
60: Ret: -282.11; Last 100 Avg Ret: -247.63; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
61: Ret: -113.30; Last 100 Avg Ret: -245.42; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
62: Ret: -409.98; Last 100 Avg Ret: -248.08; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
63: Ret: -212.51; Last 100 Avg Ret: -247.51; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
64: Ret: -60.34; Last 100 Avg Ret: -244.59; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
65: Ret: -164.59; Last 100 Avg Ret: -243.36; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 4; Solved: N
66: Ret: -122.45; Last 100 Avg Ret: -241.53; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
67: Ret: -115.47; Last 100 Avg Ret: -239.65; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
68: Ret: -235.65; Last 100 Avg Ret: -239.59; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
69: Ret: -109.84; Last 100 Avg Ret: -237.71; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
70: Ret: -469.83; Last 100 Avg Ret: -241.02; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
71: Ret: -323.65; Last 100 Avg Ret: -242.19; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
72: Ret: -78.29; Last 100 Avg Ret: -239.91; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
73: Ret: -79.43; Last 100 Avg Ret: -237.71; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
74: Ret: -148.20; Last 100 Avg Ret: -236.50; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
75: Ret: -333.98; Last 100 Avg Ret: -237.80; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
76: Ret: -124.29; Last 100 Avg Ret: -236.31; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
77: Ret: -23.07; Last 100 Avg Ret: -233.54; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
78: Ret: -102.16; Last 100 Avg Ret: -231.85; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
79: Ret: -281.41; Last 100 Avg Ret: -232.48; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
80: Ret: -41.75; Last 100 Avg Ret: -230.10; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 5; Solved: N
81: Ret: -116.66; Last 100 Avg Ret: -228.70; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
82: Ret: -145.75; Last 100 Avg Ret: -227.69; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
83: Ret: -49.92; Last 100 Avg Ret: -225.54; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
84: Ret: -112.81; Last 100 Avg Ret: -224.20; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
85: Ret: -155.92; Last 100 Avg Ret: -223.40; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
86: Ret: -112.16; Last 100 Avg Ret: -222.10; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
87: Ret: -99.36; Last 100 Avg Ret: -220.69; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
88: Ret: -162.88; Last 100 Avg Ret: -220.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
89: Ret: -263.47; Last 100 Avg Ret: -220.53; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
90: Ret: -140.73; Last 100 Avg Ret: -219.64; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
91: Ret: -211.71; Last 100 Avg Ret: -219.55; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
92: Ret: -81.83; Last 100 Avg Ret: -218.05; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 6; Solved: N
93: Ret: -121.02; Last 100 Avg Ret: -217.01; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
94: Ret: -124.88; Last 100 Avg Ret: -216.03; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
95: Ret: -392.10; Last 100 Avg Ret: -217.88; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
96: Ret: -158.17; Last 100 Avg Ret: -217.26; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
97: Ret: -292.83; Last 100 Avg Ret: -218.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
98: Ret: -76.02; Last 100 Avg Ret: -216.59; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
99: Ret: -101.81; Last 100 Avg Ret: -215.43; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
100: Ret: -179.65; Last 100 Avg Ret: -215.07; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
101: Ret: -237.21; Last 100 Avg Ret: -215.80; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
102: Ret: 27.13; Last 100 Avg Ret: -214.39; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
103: Ret: -159.57; Last 100 Avg Ret: -215.39; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
104: Ret: -183.57; Last 100 Avg Ret: -215.81; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
105: Ret: -184.28; Last 100 Avg Ret: -216.48; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
106: Ret: -50.56; Last 100 Avg Ret: -215.14; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 7; Solved: N
