44: Ret: -247.04; Last 100 Avg Ret: -223.39; Var: 0.00006525; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
45: Ret: -167.53; Last 100 Avg Ret: -222.15; Var: 0.00062097; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
46: Ret: -207.24; Last 100 Avg Ret: -221.82; Var: 0.00054818; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
47: Ret: -540.75; Last 100 Avg Ret: -228.61; Var: 0.00054818; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
48: Ret: -159.53; Last 100 Avg Ret: -227.17; Var: 0.00055755; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
49: Ret: -96.26; Last 100 Avg Ret: -224.50; Var: 0.00071607; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -173.77; Last 100 Avg Ret: -223.48; Var: 0.00071607; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
51: Ret: -96.66; Last 100 Avg Ret: -221.00; Var: 0.00069356; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
52: Ret: -274.92; Last 100 Avg Ret: -222.03; Var: 0.00192379; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
53: Ret: -58.94; Last 100 Avg Ret: -218.96; Var: 0.00311294; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
54: Ret: -101.68; Last 100 Avg Ret: -216.78; Var: 0.00374589; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
55: Ret: -171.15; Last 100 Avg Ret: -215.95; Var: 0.00144966; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
56: Ret: -153.19; Last 100 Avg Ret: -214.83; Var: 0.00149399; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
57: Ret: -58.21; Last 100 Avg Ret: -212.09; Var: 0.00149399; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
58: Ret: -395.39; Last 100 Avg Ret: -215.25; Var: 0.00142684; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
59: Ret: -132.21; Last 100 Avg Ret: -213.84; Var: 0.00141742; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -120.78; Last 100 Avg Ret: -212.29; Var: 0.00144452; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
61: Ret: -220.83; Last 100 Avg Ret: -212.43; Var: 0.00155045; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
62: Ret: -201.04; Last 100 Avg Ret: -212.24; Var: 0.00159535; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
63: Ret: -8.21; Last 100 Avg Ret: -209.01; Var: 0.00160703; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
64: Ret: -137.14; Last 100 Avg Ret: -207.88; Var: 0.00167780; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
65: Ret: -119.17; Last 100 Avg Ret: -206.52; Var: 0.00172479; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
66: Ret: -68.54; Last 100 Avg Ret: -204.43; Var: 0.00213061; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
67: Ret: -223.44; Last 100 Avg Ret: -204.71; Var: 0.00250933; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
68: Ret: -296.63; Last 100 Avg Ret: -206.06; Var: 0.00343634; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
69: Ret: -278.71; Last 100 Avg Ret: -207.12; Var: 0.00331328; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -96.95; Last 100 Avg Ret: -205.54; Var: 0.00067650; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
71: Ret: -91.09; Last 100 Avg Ret: -203.93; Var: 0.00058859; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
72: Ret: -466.37; Last 100 Avg Ret: -207.57; Var: 0.00076182; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
73: Ret: -242.34; Last 100 Avg Ret: -208.05; Var: 0.00076874; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
74: Ret: -332.39; Last 100 Avg Ret: -209.73; Var: 0.00075835; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
75: Ret: -357.66; Last 100 Avg Ret: -211.70; Var: 0.00078260; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
76: Ret: -167.09; Last 100 Avg Ret: -211.12; Var: 0.00082111; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
77: Ret: -151.39; Last 100 Avg Ret: -210.34; Var: 0.00088546; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
78: Ret: -131.67; Last 100 Avg Ret: -209.33; Var: 0.00102721; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
79: Ret: -652.08; Last 100 Avg Ret: -214.94; Var: 0.00105251; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -224.42; Last 100 Avg Ret: -215.06; Var: 0.00200617; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
81: Ret: -95.10; Last 100 Avg Ret: -213.57; Var: 0.00244688; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
