episode,reward,unexpected_uncertainty,expected_uncertainty,ne,ach,actor_lr,mean_td2,mean_abs_td
0,18.0,0.0,0.09486911086604265,0.48658561953270035,5.5e-05,0.0010015118432152303,0.004000107757747173,0.020232513546943665
1,22.0,0.0,0.0948691885813184,0.48658561953270035,5.5e-05,0.0019299355439737847,0.004000107757747173,0.020232513546943665
2,24.0,0.0,0.09486918341966105,0.48658561953270035,5.5e-05,0.0027231276116711114,0.004000107757747173,0.020232513546943665
3,28.0,0.0,0.09486918180664022,0.48658561953270035,5.5e-05,0.0034251984419207205,0.004000107757747173,0.020232513546943665
4,34.0,0.0,0.09486918170078575,0.48658561953270035,5.5e-05,0.004040485626387615,0.004000107757747173,0.020232513546943665
5,13.0,0.0,0.09487270539642212,0.48658561953270035,5.5e-05,0.004232052999248107,0.004000107757747173,0.020232513546943665
6,17.0,0.0,0.09486940194362964,0.48658561953270035,5.5e-05,0.0044418807790831865,0.004000107757747173,0.020232513546943665
7,21.0,0.0,0.09486919546360068,0.48658561953270035,5.5e-05,0.0046517792651338645,0.004000107757747173,0.020232513546943665
8,10.0,0.0,0.09489737128435836,0.48658561953270035,5.5e-05,0.00474055552801891,0.004000107757747173,0.020232513546943665
9,18.0,0.0,0.09486929186841403,0.48658561953270035,5.5e-05,0.004872570805703844,0.004000107757747173,0.020232513546943665
10,16.0,0.0,0.0948696221621106,0.48658561953270035,5.5e-05,0.004971112831337698,0.004000107757747173,0.020232513546943665
11,18.0,0.0,0.09486929181548678,0.48658561953270035,5.5e-05,0.005063050015701972,0.004000107757747173,0.020232513546943665
12,27.0,0.0,0.09486918191417534,0.48658561953270035,5.5e-05,0.00517022541930696,0.004000107757747173,0.020232513546943665
13,18.0,0.0,0.09486929181464707,0.48658561953270035,5.5e-05,0.0052275505884928795,0.004000107757747173,0.020232513546943665
14,16.0,0.0,0.0948696221621102,0.48658561953270035,5.5e-05,0.00527034062302862,0.004000107757747173,0.020232513546943665
15,45.0,0.0,0.09486918169910634,0.48658561953270035,5.5e-05,0.005355355097256025,0.004000107757747173,0.020232513546943665
16,18.0,0.0,0.09486929181464666,0.48658561953270035,5.5e-05,0.005380498919755182,0.004000107757747173,0.020232513546943665
17,11.0,0.0,0.09488327651525515,0.48658561953270035,5.5e-05,0.005394076050317262,0.004000107757747173,0.020232513546943665
18,32.0,1.3929745553767845e-07,0.09486918170582809,0.4865856233084966,5.5e-05,0.005423975147179306,0.004000107757747173,0.020232513546943665
19,15.0,3.920874805332171e-09,0.09487006262343475,0.4865856196389795,5.5e-05,0.005435268048269482,0.004000107757747173,0.020232513546943665
20,18.0,3.120673642468407e-06,0.09486929181632689,0.486585704121691,5.5e-05,0.005446520492520612,0.004000107757747173,0.020232513546943665
21,28.0,3.6722306326489e-07,0.09486918180664043,0.4865856294866474,5.5e-05,0.005460041604392811,0.004000107757747173,0.020232513546943665
22,19.0,1.1199387955976763e-06,0.0948692367568762,0.4865856498897597,5.5e-05,0.005467317751017632,0.004000107757747173,0.020232513546943665
23,44.0,2.605033811883218e-08,0.09486918169910716,0.4865856202388207,5.5e-05,0.005479208027545504,0.004000107757747173,0.020232513546943665
24,9.0,0.0006885841242875323,0.09492556085616932,0.4866042854544705,5.5e-05,0.0054811961128080795,0.004000107757747173,0.020232513546943665
25,16.0,0.00042318822537623364,0.09486962259140891,0.4865970909103784,5.5e-05,0.005484149391282418,0.004000107757747173,0.020232513546943665
26,27.0,6.999056834741239e-06,0.09486918191417658,0.48658580924922595,5.5e-05,0.005488037239886932,0.004000107757747173,0.020232513546943665
27,26.0,1.033684054591424e-05,0.09486918212924436,0.48658589972331934,5.5e-05,0.005490880276984328,0.004000107757747173,0.020232513546943665
28,34.0,4.658177496117684e-05,0.09486918170078575,0.4865868821834224,5.5e-05,0.005493584751865601,0.004000107757747173,0.020232513546943665
29,21.0,0.0003482927014070805,0.09486919546354816,0.4865950606508489,5.5e-05,0.005494857340855989,0.004000107757747173,0.020232513546943665
30,22.0,0.0003980164386777289,0.09486918858132848,0.48659640855331454,5.5e-05,0.005495918712247409,0.004000107757747173,0.020232513546943665
31,23.0,0.0004162142695125207,0.09486918514021658,0.4865969018599966,5.5e-05,0.005496793421426451,0.004000107757747173,0.020232513546943665
32,44.0,0.0003165195352853344,0.09486918169910716,0.48659419935571313,5.5e-05,0.0054979600212515965,0.004000107757747173,0.020232513546943665
33,11.0,0.0015041657387658879,0.09488327648837147,0.4866263969944711,5.5e-05,0.005498191793698795,0.004000107757747173,0.020232513546943665
34,26.0,0.0005828592559015487,0.09486918212934936,0.4866014193468045,5.5e-05,0.0054986215271002475,0.004000107757747173,0.020232513546943665
35,52.0,0.0005034148327240455,0.09486918169910552,0.48659926571485856,5.5e-05,0.0054991907857049535,0.004000107757747173,0.020232513546943665
36,24.0,0.0007747142175021962,0.09486918341966086,0.4866066204056608,5.5e-05,0.005499370575836988,0.004000107757747173,0.020232513546943665
37,18.0,0.0011279175132391166,0.09486929181464994,0.48661619598163997,5.5e-05,0.005499479989505442,0.004000107757747173,0.020232513546943665
38,23.0,0.0008823354279398137,0.09486918514022274,0.48660953802331297,5.5e-05,0.005499591439121442,0.004000107757747173,0.020232513546943665
39,57.0,0.0006964568757475138,0.09486918169910552,0.48660449887999335,5.5e-05,0.00549977191429598,0.004000107757747173,0.020232513546943665
40,17.0,0.0013627959218615422,0.09486940193018781,0.4866225640302817,5.5e-05,0.005499809659341212,0.004000107757747173,0.020232513546943665
41,21.0,0.0011670733574347509,0.09486919546360068,0.48661725756028684,5.5e-05,0.00549984741710549,0.004000107757747173,0.020232513546943665
42,15.0,0.0017718433479488149,0.09487006262364467,0.48663365481442056,5.5e-05,0.0054998700821087395,0.004000107757747173,0.020232513546943665
43,9.0,0.004256980206509675,0.0949255617164472,0.48670105369255956,5.5e-05,0.005499882504587924,0.004000107757747173,0.020232513546943665
44,9.0,0.005724828092781895,0.09492561591478002,0.48674087713386405,5.5e-05,0.005499893739255425,0.004000107757747173,0.020232513546943665
45,23.0,0.0010982592047472544,0.09486918514357992,0.4866153919016478,5.5e-05,0.0054999165132557665,0.004000107757747173,0.020232513546943665
46,13.0,0.0019154860966574972,0.09487270539663224,0.4866375496938756,5.5e-05,0.005499927471240529,0.004000107757747173,0.020232513546943665
47,17.0,0.0014436860154508765,0.09486940194362964,0.4866247571938688,5.5e-05,0.005499939473752126,0.004000107757747173,0.020232513546943665
48,26.0,0.0007685687019917446,0.094869182129246,0.4866064538020718,5.5e-05,0.005499953858255914,0.004000107757747173,0.020232513546943665
49,23.0,0.0008470694409319631,0.09486918514021621,0.48660858195396883,5.5e-05,0.0054999637474403,0.004000107757747173,0.020232513546943665
50,18.0,0.0011531310245365297,0.09486929181465323,0.4866168795600937,5.5e-05,0.0054999700492726475,0.004000107757747173,0.020232513546943665
51,13.0,0.0019645443051331192,0.09487270540314292,0.4866388799325595,5.5e-05,0.005499973980431026,0.004000107757747173,0.020232513546943665
52,12.0,0.0025818042966179303,0.09487622952387814,0.48665561826577863,5.5e-05,0.00549997716728122,0.004000107757747173,0.020232513546943665
53,37.0,0.0006116096617159681,0.09486918169931557,0.48660219873944555,5.5e-05,0.005499984415422889,0.004000107757747173,0.020232513546943665
54,11.0,0.0020561508633146004,0.09488327648837153,0.4866413639233668,5.5e-05,0.005499986186066619,0.004000107757747173,0.020232513546943665
55,11.0,0.0031105030061522555,0.09488327992948213,0.4866699565563263,5.5e-05,0.005499987755538436,0.004000107757747173,0.020232513546943665
56,45.0,0.0006033205234338806,0.09486918169910634,0.4866019740293881,5.5e-05,0.005499992288148766,0.004000107757747173,0.020232513546943665
57,19.0,0.0010638906322764576,0.09486923675687609,0.48661446012493037,5.5e-05,0.00549999369242338,0.004000107757747173,0.020232513546943665
58,16.0,0.0014692148801702812,0.09486962216169013,0.48662544936164037,5.5e-05,0.005499994683071227,0.004000107757747173,0.020232513546943665
59,12.0,0.002437218634852704,0.0948762291475059,0.48665169734662367,5.5e-05,0.005499995334283227,0.004000107757747173,0.020232513546943665
60,38.0,0.0006574231089449156,0.09486918169921055,0.4866034407012059,5.5e-05,0.00549999684723965,0.004000107757747173,0.020232513546943665
61,12.0,0.0019426590105690784,0.09487622909373851,0.48663828650002405,5.5e-05,0.005499997233386517,0.004000107757747173,0.020232513546943665
62,12.0,0.0027380982943148264,0.09487622995401616,0.48665985681067114,5.5e-05,0.0054999975722385104,0.004000107757747173,0.020232513546943665
63,12.0,0.002908264358492965,0.09487622995412118,0.48666447168919963,5.5e-05,0.005499997869588257,0.004000107757747173,0.020232513546943665
