window_end_episode,mean_reward_rate,std_reward_rate
50,65.714286,7.072030
100,84.666667,4.872990
150,91.238095,4.341437
200,95.523810,3.141414
250,96.095238,2.505323
300,96.666667,2.713868
350,98.285714,1.880802
400,98.761905,1.570707
450,98.857143,1.698339
500,99.428571,0.903508
550,99.428571,0.903508
600,98.952381,1.587936
650,100.000000,0.000000
700,99.714286,0.699854
750,99.904762,0.425918
800,99.904762,0.425918
850,99.904762,0.425918
900,99.904762,0.425918
950,99.904762,0.425918
1000,99.809524,0.587087
1050,99.904762,0.425918
1100,100.000000,0.000000
1150,99.904762,0.425918
1200,99.904762,0.425918
1250,100.000000,0.000000
1300,99.904762,0.425918
1350,100.000000,0.000000
1400,100.000000,0.000000
1450,99.904762,0.425918
1500,100.000000,0.000000
1550,100.000000,0.000000
1600,100.000000,0.000000
1650,100.000000,0.000000
1700,100.000000,0.000000
1750,100.000000,0.000000
1800,100.000000,0.000000
1850,100.000000,0.000000
1900,99.904762,0.425918
1950,100.000000,0.000000
2000,99.904762,0.425918
2050,100.000000,0.000000
2100,99.904762,0.425918
2150,99.904762,0.425918
2200,100.000000,0.000000
2250,100.000000,0.000000
2300,100.000000,0.000000
2350,100.000000,0.000000
2400,100.000000,0.000000
2450,100.000000,0.000000
2500,100.000000,0.000000
2550,100.000000,0.000000
2600,100.000000,0.000000
2650,100.000000,0.000000
2700,100.000000,0.000000
2750,99.904762,0.425918
2800,100.000000,0.000000
2850,100.000000,0.000000
2900,100.000000,0.000000
2950,100.000000,0.000000
3000,100.000000,0.000000
3050,100.000000,0.000000
3100,100.000000,0.000000
3150,100.000000,0.000000
3200,100.000000,0.000000
3250,100.000000,0.000000
3300,100.000000,0.000000
3350,100.000000,0.000000
3400,100.000000,0.000000
3450,100.000000,0.000000
3500,100.000000,0.000000
3550,100.000000,0.000000
3600,100.000000,0.000000
3650,100.000000,0.000000
3700,100.000000,0.000000
3750,100.000000,0.000000
3800,100.000000,0.000000
3850,100.000000,0.000000
3900,100.000000,0.000000
3950,100.000000,0.000000
4000,100.000000,0.000000
4050,100.000000,0.000000
4100,100.000000,0.000000
4150,100.000000,0.000000
4200,100.000000,0.000000
4250,100.000000,0.000000
4300,100.000000,0.000000
4350,100.000000,0.000000
4400,100.000000,0.000000
4450,100.000000,0.000000
4500,100.000000,0.000000
4550,100.000000,0.000000
4600,100.000000,0.000000
4650,100.000000,0.000000
4700,100.000000,0.000000
4750,100.000000,0.000000
4800,100.000000,0.000000
4850,100.000000,0.000000
4900,100.000000,0.000000
4950,100.000000,0.000000
5000,100.000000,0.000000
5050,100.000000,0.000000
5100,100.000000,0.000000
5150,100.000000,0.000000
5200,100.000000,0.000000
5250,100.000000,0.000000
5300,100.000000,0.000000
5350,100.000000,0.000000
5400,100.000000,0.000000
5450,100.000000,0.000000
5500,100.000000,0.000000
5550,100.000000,0.000000
5600,100.000000,0.000000
5650,100.000000,0.000000
5700,100.000000,0.000000
5750,100.000000,0.000000
5800,100.000000,0.000000
5850,99.904762,0.425918
5900,100.000000,0.000000
5950,100.000000,0.000000
6000,100.000000,0.000000
6050,100.000000,0.000000
