episode,reward,unexpected,expected,variance,actor_lr,abs_td
0,-500.0,0.019405045238124863,0.8723729057517071,0.7484408634901046,0.001,0.9933308154344559
1,-500.0,0.047332541572926906,0.9049902086228127,0.8092099221944808,0.001,0.983024870634079
2,-500.0,0.016877871094443737,0.929000198751288,0.8669136139154434,0.001,0.9726384737491608
3,-500.0,0.17074799719087616,0.956685818690147,0.913883685708046,0.001,0.9884212346076965
4,-500.0,0.007475901552905217,0.9986175423883364,0.9735752493143082,0.001,0.9769887161254883
5,-500.0,0.09727517051125287,1.0174213896563336,1.0343598856925964,0.001,0.9648092384338379
6,-500.0,0.7054433496661693,1.0936407195542217,1.1428942711353303,0.001,1.0793343930244446
7,-500.0,1.9275746402135951,1.2069191645272281,1.3973157498836517,0.001,1.1467768201828004
8,-464.0,0.4568106806446727,1.2380171879908481,1.5972190113477809,0.001,1.0936399254747617
9,-500.0,0.3255643650324779,1.3255455274247763,1.7447885336875915,0.001,1.1656779108047486
10,-500.0,0.6322227475212403,1.4246541219295634,1.9435116586685182,0.001,1.2881859788894654
11,-500.0,0.5049060799119144,1.428209747238946,2.106400120973587,0.001,1.19786243724823
12,-500.0,0.6339074900835419,1.5412035627089977,2.4199451823234557,0.001,1.3893949089050293
13,-500.0,0.9916315080469345,1.6344535836568488,2.8202192792892458,0.001,1.4778556594848633
14,-500.0,0.9631740711724808,1.8227843761580365,3.2766599879264833,0.001,1.6361782321929932
15,-500.0,2.4335973589940076,2.104435855325456,4.239011721134186,0.001,1.8705684661865234
16,-500.0,0.9193487413104849,2.0797540153426897,4.67208239030838,0.001,1.696267957687378
17,-500.0,2.0899737149456925,2.1787532176645272,4.897189787864685,0.001,1.833118558883667
18,-500.0,1.7607369422642694,2.1258038125006777,4.9459035120010375,0.001,1.6178876056671143
19,-500.0,2.591258393731481,2.3529387728542615,5.5638012619018555,0.001,1.955401668548584
20,-500.0,2.0265390860108057,2.3983351413968,5.762887250900269,0.001,1.8823828506469726
21,-500.0,1.8005178520258476,2.3199313179941212,5.701260406970977,0.001,1.7442305030822753
22,-500.0,1.5298473849664642,2.3276484462494036,5.9165931301116945,0.001,1.8330394592285155
23,-500.0,1.9922193344906534,2.584997333556881,6.507578461647034,0.001,2.1617918586730958
24,-500.0,1.246098690191753,2.495620738818949,7.010810799598694,0.001,1.923619384765625
25,-500.0,1.9108384252876265,2.6136777059938683,7.113940414428711,0.001,2.11085799407959
26,-500.0,1.9541553188524454,2.6587532471884914,7.8213573846817015,0.001,2.1040524253845216
27,-500.0,1.3944846950829863,2.5982159887264884,7.200177533149719,0.001,1.986236572265625
28,-500.0,1.3699864220027587,2.5533796535444333,7.255182850837707,0.001,1.9157201004028321
29,-500.0,1.3647471434044454,2.5794484333873307,7.251197959899902,0.001,2.0333394165039063
30,-500.0,2.193370529045808,2.6568237326651603,7.653857305526733,0.001,2.076666160583496
31,-500.0,3.6371479341891266,2.7961681355954653,8.150800909996033,0.001,2.1571953125
