episode,reward,unexpected,expected,variance,td2,delta_var,actor_lr,abs_td
0,-500.0,0.020351742816361193,0.9667562076579787,0.9003127317428589,0.9955003660019514,1.995980180498469e-05,0.0001000000000000008,0.9952824952602386
1,-500.0,0.1785049235463133,0.9870765544829481,0.9842149860858918,1.01284147072831,3.7797102505742554e-06,0.0001000000000000008,0.9993823101520538
2,-500.0,0.024159398590727146,1.0015003210697508,0.9982712548971177,1.010396295763668,-3.7970060341859766e-06,0.0001000000000000008,0.9930588796138763
3,-500.0,0.06316297822335129,1.0099314173656981,0.9941783540248871,1.015345212329158,-1.944695876674046e-06,0.0001000000000000008,0.9920378193855286
4,-500.0,0.04150872978950821,0.9951659628686261,0.9892816945314408,1.0045977528791874,-1.5205927277125469e-06,0.0001000000000000008,0.9828340122699738
5,-500.0,0.0006535675144329515,0.9830148133861757,0.9821912863254547,0.9763502970077792,-5.6627792628201835e-06,0.0001000000000000008,0.9673386774063111
6,-500.0,0.032625823295417314,0.9834688888474382,0.9756673440933228,0.9978978874125827,-4.404460255368875e-06,0.0001000000000000008,0.972476851940155
7,-500.0,0.13589038085529773,1.009990887737928,1.0095607895851135,1.0588951771789652,-5.794020854064292e-06,0.0001000000000000008,0.9999655570983886
8,-500.0,0.008665650086533716,1.011537996221367,1.0205954602956773,1.0260063392623533,-1.5716285453768265e-05,0.0001000000000000008,0.9812549781799317
9,-500.0,0.5002085578402673,1.0136267331780524,1.0101232279539107,1.0196705062336207,-1.463694924024857e-05,0.0001000000000000008,0.9790854346752167
10,-500.0,0.04030218065339017,1.0003247048174977,1.0230231218338013,1.030295580807115,-1.5999617789008207e-05,0.0001000000000000008,0.9845252785682678
11,-500.0,0.2982219674086035,1.024272223790816,1.0355801037549972,1.0362202381994712,-1.672928874796125e-05,0.0001000000000000008,0.9856550605297089
12,-500.0,0.14365759857268726,1.005410623243589,0.9999519332647323,1.0190325890936613,-6.9706468485798825e-06,0.0001000000000000008,0.9804047837257385
13,-500.0,0.013199708322895076,1.0162653981505327,1.035426039814949,1.0261739419539253,-2.865445636707634e-05,0.0001000000000000008,0.9735309913158416
14,-500.0,0.2842385416395826,1.0129887071286183,1.0052331569194795,1.0205125209878436,-9.15901616450664e-06,0.0001000000000000008,0.9785047609806061
15,-500.0,0.4790421132145367,1.0132345308202306,1.0117950562834739,1.0221175441407109,-1.680276439291988e-05,0.0001000000000000008,0.9730832860469818
16,-500.0,0.0036932900317180255,1.0072157906026666,1.0190272940993308,1.0195029381889928,-2.5282974146722506e-05,0.0001000000000000008,0.9729599828720092
