episode,reward,unexpected,expected,variance,actor_lr,abs_td
0,0.0,0.0,0.1469262140259147,0.6304065734148026,0.07356596831584386,0.0
1,0.0,0.0,0.3539626582634211,0.4087103876200589,0.27081429591708844,0.0
2,0.0,0.0,0.3818691130508247,0.3038516541322072,0.5,0.0
3,0.0,0.0,0.4282929045732135,0.27099907770752907,0.5,0.0
4,0.0,0.0,0.44048779018497086,0.216482637450099,0.5,0.0
5,0.0,0.0,0.44380665171674916,0.21000619232654572,0.5,0.0
6,0.0,0.0,0.42883833083954975,0.15589455834456853,0.5,0.0
7,0.0,0.0,0.40868221652004394,0.1515830124417941,0.5,0.0
8,0.0,0.0,0.3915427226190037,0.11096144765615464,0.5,0.0
9,0.0,0.0,0.3690783912680617,0.12983845580707898,0.5,0.0
10,0.0,0.0,0.3088814395541794,0.07327617606834362,0.5,0.0
11,0.0,0.0,0.30259279848705223,0.05968701280653477,0.5,0.0
12,0.0,0.0,0.29671172976262733,0.05866141989827156,0.5,0.0
13,0.0,0.0,0.29429590092092794,0.07491477951407433,0.5,0.0
14,0.0,0.0,0.2918274246241253,0.07328057289123535,0.5,0.0
15,0.0,0.0,0.289320547176749,0.07171550206840038,0.5,0.0
16,0.0,0.0,0.2753462795192783,0.05168693065643311,0.5,0.0
17,0.0,0.0,0.27319633351719447,0.07215463403951038,0.5,0.0
18,0.0,0.0,0.2680138980396375,0.048403263092041016,0.5,0.0
19,0.0,0.0,0.2665049960922792,0.06679208452502887,0.5,0.0
20,0.0,0.0,0.26485521987601945,0.0675049789249897,0.5,0.0
21,0.0,0.0,0.25682936584627225,0.04345467065771421,0.5,0.0
22,0.0,0.0,0.2568801050646863,0.06650736834853888,0.5,0.0
23,0.0,0.0,0.2425675747393946,0.049477997828613625,0.5,0.0
24,0.0,0.0,0.2382810855973064,0.05198885127902031,0.5,0.0
25,0.0,0.0,0.2285939277226251,0.044684015680104494,0.5,0.0
26,0.0,0.0,0.22299542664254302,0.039629511535167694,0.5,0.0
27,0.0,0.0,0.22720608906016035,0.05597070498125894,0.5,0.0
28,0.0,0.0,0.22064574011106486,0.0394560668617487,0.5,0.0
29,0.0,0.0,0.2245012424138642,0.05436918990952628,0.5,0.0
30,0.0,0.0,0.21772501064322647,0.03129726524154345,0.5,0.0
31,0.0,0.0,0.21588621390563953,0.044028401374816895,0.5,0.0
32,0.0,0.0,0.21108995739517122,0.039592655065159,0.5,0.0
33,0.0,0.0,0.20722347120862994,0.03649482550099492,0.5,0.0
34,0.0,0.0,0.20197765369027984,0.03774267751723528,0.5,0.0
35,0.0,0.0,0.19508253181048846,0.032993927132338285,0.5,0.0
36,0.0,0.0,0.193538959113467,0.034221782038609184,0.5,0.0
37,0.0,0.0,0.19206759858606134,0.03534748529394468,0.5,0.0
38,0.0,0.0,0.18922990799646855,0.02656419947743416,0.5,0.0
39,0.0,0.0,0.18420186841596592,0.028437879309058188,0.5,0.0
40,0.0,0.0,0.18475801283998064,0.035200603771954775,0.5,0.0
41,0.0,0.0,0.18486779593452551,0.0345000377856195,0.5,0.0
42,0.0,0.0,0.18410871658106473,0.03185870032757521,0.5,0.0
43,0.0,0.0,0.18152947872256528,0.024863687343895435,0.5,0.0
44,0.0,0.0,0.18599627387002637,0.03948748980959257,0.5,0.0
