Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
400: Ret: -98.88; Last 100 Avg Ret: -100.49; Var: 0.00132844; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: 118.66; Last 100 Avg Ret: -90.28; Var: 0.00163563; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: -4.54; Last 100 Avg Ret: -91.03; Var: 0.00103205; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: 215.37; Last 100 Avg Ret: -86.79; Var: 0.00047960; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: -187.27; Last 100 Avg Ret: -93.13; Var: 0.00073665; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: -26.53; Last 100 Avg Ret: -86.92; Var: 0.00096450; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: -7.14; Last 100 Avg Ret: -89.01; Var: 0.00113111; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: -63.85; Last 100 Avg Ret: -81.44; Var: 0.00152401; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: -13.23; Last 100 Avg Ret: -79.62; Var: 0.00153018; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: 20.37; Last 100 Avg Ret: -71.71; Var: 0.00165243; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
500: Ret: -157.03; Last 100 Avg Ret: -72.60; Var: 0.00116823; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: -39.48; Last 100 Avg Ret: -79.49; Var: 0.00032690; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
