episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,10.0,1.6021719614102046e-05,0.07963242511365644,0.6935820400714874,0.9981786642178196,2.8000750616924675e-05,5.0000000002926976e-05,0.9990882098674774
1,27.0,0.00010200127337580568,0.25876393084721816,0.6944788032107883,0.9989655384249014,2.7909775712589357e-05,5.000000000969416e-05,0.9994794152401112
2,17.0,1.2915544857501652e-05,0.3491298393896327,0.6957742080968969,0.9983624987865637,2.7620729904818854e-05,5.0000000017685014e-05,0.9991716917823342
3,19.0,1.8613261762410055e-07,0.43358926509191065,0.6972114098699469,0.9959683179652082,2.714736708610574e-05,5.000000002587785e-05,0.9979624309037861
4,43.0,0.002667703066407755,0.574796683625951,0.6988624805627868,0.9980464481911472,2.7041342674432986e-05,5.000000004341095e-05,0.9989934896313867
5,12.0,0.0001833231588105637,0.6045458920639434,0.6999851812918981,0.9929760649809024,2.639864621098029e-05,5.000000006084219e-05,0.9964178701241811
6,13.0,1.007829723764206e-05,0.6330409402770057,0.7009196418982285,0.9856641572842816,2.5591796685268543e-05,5.0000000069102434e-05,0.9927292970510629
7,13.0,5.540602500485095e-07,0.6581144310774548,0.7018625506987939,0.986385804281968,2.5503776197086317e-05,5.000000007766904e-05,0.9930614324716421
8,10.0,5.949176634929831e-08,0.6753139622041298,0.7022638857364655,0.9818468182341533,2.504940692880307e-05,5.000000008513297e-05,0.9907468795776367
9,14.0,2.61647555431946e-09,0.6967239057560195,0.7029836475849152,0.9870923277429865,2.5376836428979693e-05,5.000000009270216e-05,0.9933998542172569
10,39.0,1.9301864549366066e-06,0.7432315704877233,0.7058613330889971,0.989376020317194,2.509260834515428e-05,5.000000010830042e-05,0.9945296828563397
11,22.0,3.625633678200635e-05,0.762499417321945,0.7062600146640431,0.9885944421953283,2.4966287920788517e-05,5.000000012433408e-05,0.9941008741205389
12,19.0,5.225088794280423e-07,0.7762466289496535,0.7083248715651663,0.9702945232531439,2.3075439750480318e-05,5.000000013357499e-05,0.9848081406794096
13,16.0,1.470731746681193e-08,0.7860181201040615,0.7090936489403248,0.9817766209191576,2.3998968145859224e-05,5.0000000140583646e-05,0.9904468916356564
14,16.0,4.1397418414471163e-10,0.7944538027048679,0.7104233726859093,0.9827963679944602,2.3880474998778207e-05,5.000000014629129e-05,0.9909107312560081
15,28.0,0.01955026581099776,0.8064790174647227,0.7114883341959545,0.9998886970409311,2.517833665838027e-05,5.000000015310069e-05,0.9994791597127914
16,11.0,0.0017959575388544623,0.810290700490704,0.7105492407625372,0.9806647169980512,2.3716834188827977e-05,5.0000000158366405e-05,0.9897376624020663
17,26.0,5.427948599131764e-06,0.818441205570119,0.7153258048571073,0.9646666317531539,2.1638141591554008e-05,5.0000000162600086e-05,0.9815915479109838
18,15.0,0.005682408069801633,0.8221967163837306,0.7145526488622029,1.0004288776823413,2.482239059058522e-05,5.000000016679042e-05,0.9993848363558452
19,101.0,0.0007113109652341011,0.8370441630177478,0.7146035822311251,0.9956222419966224,2.4214299829963143e-05,5.000000017460561e-05,0.9974997739980717
20,12.0,4.888091732746656e-05,0.8381831478462807,0.7175855338573456,0.9806439115001604,2.280781601521147e-05,5.0000000179932155e-05,0.9890934079885483
21,26.0,0.0017333276155528062,0.840669565581348,0.7209016336844518,0.9911165804711929,2.3074773381127016e-05,5.0000000181281804e-05,0.9945608904728522
22,23.0,0.0051648660980767,0.8424051997644955,0.7211067365563434,0.9867880783082884,2.268351482085817e-05,5.000000018293884e-05,0.9924031832943792
23,14.0,0.004156970383405567,0.8433463580603767,0.721857705286571,0.980103120514641,2.2167707112327072e-05,5.000000018396779e-05,0.9886300052915301
24,12.0,0.00028566482955468003,0.8440656954432226,0.7220067530870438,0.9550522045058244,2.018426662922703e-05,5.000000018459994e-05,0.9758291691541672
25,12.0,1.9630737608876254e-05,0.8446345064034337,0.7209701091051102,0.9762159680321553,2.2027666005737065e-05,5.00000001851314e-05,0.9865635385115942
26,17.0,4.4204491290171574e-07,0.845634659609512,0.724318753270542,0.9692882291655924,2.0877789233940988e-05,5.000000018572998e-05,0.9832374418483061
27,22.0,3.2617157509532757e-09,0.846898131090227,0.7260477651249279,0.9673377512029692,2.0450626019553042e-05,5.0000000186579636e-05,0.98228750445626
28,30.0,0.0007473472135851428,0.8484832215309496,0.7277111709117889,0.9687764073521995,2.029094349676963e-05,5.0000000187687345e-05,0.9831006209055583
29,55.0,0.007588374163631177,0.8504275739908282,0.7277950611981479,0.9831495459216478,2.1342218520750438e-05,5.000000018915232e-05,0.9905648990110918
30,22.0,6.45351846263275e-05,0.8514901546048148,0.732659553939646,0.9654042876321639,1.9539133176607265e-05,5.0000000190252744e-05,0.9808072095567529
31,22.0,0.0190991919055834,0.8521374704865138,0.7308176782998171,0.9824879914197371,2.126354975866688e-05,5.0000000190969984e-05,0.9892045069824565
32,21.0,0.0076882340880327395,0.8524433946567233,0.7289775155839466,0.9719844171549897,2.0483109189075675e-05,5.0000000191398406e-05,0.9843443433443705
33,13.0,0.0004226651388427908,0.8529730963989495,0.7342340671099149,0.9316469686070499,1.7067724081826877e-05,5.00000001916639e-05,0.9628306810672467
34,24.0,0.022685708186633735,0.85378342285662,0.7341906502842903,0.9865773266034408,2.0907390696849986e-05,5.000000019214329e-05,0.9915072619915009
35,15.0,0.008818220103738422,0.8542415946120632,0.7347141782442729,0.9589444767181441,1.9198757255126536e-05,5.0000000192654685e-05,0.9765279173851014
