episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,10.0,1.6021719614102046e-05,0.07963242511365644,0.6935820400714874,0.9981786642178196,2.8000750616924675e-05,0.00010000000000000002,0.9990882098674774
1,23.0,0.0001425031918323381,0.2351930781066645,0.694484003212141,0.9991728378962014,2.7928120531467163e-05,0.0001,0.9995824228162351
2,11.0,1.2240930969910139e-05,0.2978604912621937,0.6954801949587736,0.9945539694739616,2.7326362345167673e-05,0.00010000000000000003,0.9972668886184692
3,17.0,2.756412607737765e-07,0.38217513631381034,0.6967311746933881,0.9952978326704776,2.7173606959758772e-05,0.00010000000000000003,0.9976266552420223
4,18.0,4.965511517234859e-09,0.45712335324970405,0.6973592837651571,0.9942505820839254,2.6967019284898383e-05,0.00010000000000000003,0.9970987141132355
5,21.0,6.0588718775870024e-05,0.5291732655527396,0.6985522224789574,0.9953036590486966,2.6859648800867874e-05,0.00010000000000000002,0.9976020824341547
6,17.0,0.0007973020959619654,0.5774173804098908,0.6995034112649805,0.9960257113956239,2.6755365943500167e-05,0.00010000000000000003,0.9979561321875628
7,11.0,6.848772854377793e-05,0.604548064003637,0.699977457523346,0.9896453871309722,2.613308402782172e-05,0.00010000000000000003,0.994689096104015
8,14.0,3.0121221557540054e-06,0.6351016038386651,0.7011223775999886,0.9900430314256418,2.5958108340978497e-05,0.00010000000000000003,0.994903142963137
9,9.0,4.04280192203765e-07,0.6526265142727918,0.7018288109037611,0.9844982164135744,2.536428113827291e-05,0.00010000000000000002,0.9920600586467319
10,9.0,5.426156887299268e-08,0.6686216798897502,0.7015591926044888,0.9817784304880739,2.515727494232204e-05,0.00010000000000000002,0.9907265305519104
11,42.0,0.00802661170284104,0.7272438186164094,0.7037037355559213,0.9975002417304156,2.6159355221902557e-05,9.999999999999995e-05,0.9986556229137239
12,13.0,0.0004412676449458325,0.7410478673409339,0.7055391944371737,0.9827419076023933,2.456893967568431e-05,0.00010000000000000003,0.9911696039713346
13,24.0,0.0015184429992261073,0.7623225153693777,0.7061561793088913,0.9919858606839784,2.5285572564788116e-05,9.999999999999999e-05,0.9957913135488828
14,16.0,4.2740370784362754e-05,0.7739998773105452,0.7072027027606964,0.9752211980850831,2.3690682064844927e-05,0.00010000000000000003,0.9872753731906414
15,44.0,0.0011347518943058833,0.7982421682705229,0.7087130519476804,0.9937734123695438,2.5021826389778565e-05,9.999999999999996e-05,0.9966524934226816
16,10.0,0.00012184305687794551,0.8025056138682785,0.7104293406009674,0.9668155928489067,2.2499831528016754e-05,0.00010000000000000002,0.9828555405139923
17,21.0,1.12380384369295e-06,0.8103875211012692,0.7123229049500965,0.9677054306188081,2.2209200690491214e-05,0.00010000000000000002,0.983467820144835
18,27.0,0.0041904744590012056,0.8182293503081253,0.7113761173354255,0.9926247476234389,2.448225850621376e-05,9.999999999999998e-05,0.9960054711059287
19,20.0,0.00014132497719985786,0.8231697205331039,0.7147688627243042,0.9745295312803318,2.254743204711026e-05,0.00010000000000000002,0.9865677118301391
20,44.0,0.0014206489965485592,0.8309443349941974,0.7140584113922986,0.9865611056729584,2.353886353012786e-05,9.999999999999996e-05,0.9929315651004965
21,22.0,0.014670877416870998,0.8340802897228253,0.7170498154380105,0.9950293532968609,2.3946614963440198e-05,0.0001,0.9967370764775709
22,26.0,0.00022225197778420457,0.8370163744111594,0.7173225627495692,0.9774520311218519,2.230631725343687e-05,9.999999999999998e-05,0.9881776777597574
23,19.0,3.2029885578601615e-06,0.8390470140253573,0.7204159529585588,0.9724281474967684,2.1537612807919722e-05,0.00010000000000000003,0.9852948000556544
24,9.0,4.298978470459876e-07,0.8398143686173938,0.719065957599216,0.9683395023618249,2.1688244620434694e-05,0.00010000000000000002,0.9825687143537734
25,23.0,2.537668979934744e-09,0.8418756563260139,0.7223098174385403,0.9676542789920098,2.0985773174404505e-05,0.0001,0.9826385456582775
26,12.0,1.7438728443029459e-10,0.842764801712692,0.7220992644627889,0.9521718396545694,1.9740404773761263e-05,0.00010000000000000003,0.9747473647197088
27,26.0,0.0017328270237467192,0.8447409984085378,0.7249312996864319,0.9803995790228147,2.146550568828278e-05,9.999999999999998e-05,0.9893329900044662
28,20.0,0.007630724497209746,0.8458130791161114,0.7237230062484741,0.9778464037667456,2.1628834086801644e-05,0.00010000000000000002,0.9876073569059372
29,22.0,0.012241420450888454,0.8470341102761074,0.7260428748347543,0.9744819259329549,2.1300499312953227e-05,0.0001,0.9853909422050823
30,14.0,0.0005383833650498717,0.8476557526047319,0.7256344343934741,0.9641602807415222,2.030350056495332e-05,0.00010000000000000003,0.9805177237306323
31,28.0,0.009922271915049744,0.8489868680765834,0.7279425795589175,0.9904744462120025,2.235243739489954e-05,9.999999999999996e-05,0.9933531177895409
32,32.0,0.016231183710768243,0.850323704917066,0.7293368428945541,0.9873059108134261,2.1648898843172025e-05,9.999999999999995e-05,0.9920952692627907
