Start Switch CartPole (Decoupled Uncertainty: NE~Novelty, ACh~Variance). Episodes: 15000
Ep 3400 | NORMAL | R: 174 | Avg: 147.3 | NE: 1.45 | ACh: 0.0100 | LR: 0.000100 | TDsig: 18.94 | Unexpected: 0.22 | Expected: 5.91
Ep 3500 | NORMAL | R: 115 | Avg: 191.8 | NE: 1.42 | ACh: 0.0101 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.21 | Expected: 6.31
Ep 3600 | NORMAL | R: 204 | Avg: 205.5 | NE: 1.44 | ACh: 0.0097 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.22 | Expected: 4.82
Ep 3700 | NORMAL | R: 280 | Avg: 221.8 | NE: 1.43 | ACh: 0.0101 | LR: 0.000100 | TDsig: 18.79 | Unexpected: 0.21 | Expected: 7.63
Ep 3800 | NORMAL | R: 224 | Avg: 238.6 | NE: 1.44 | ACh: 0.0094 | LR: 0.000100 | TDsig: 20.00 | Unexpected: 0.21 | Expected: 4.61
Ep 3900 | NORMAL | R: 249 | Avg: 242.8 | NE: 1.44 | ACh: 0.0101 | LR: 0.000100 | TDsig: 5.42 | Unexpected: 0.22 | Expected: 8.98
Ep 4000 | NORMAL | R: 328 | Avg: 259.8 | NE: 1.43 | ACh: 0.0101 | LR: 0.000100 | TDsig: 13.35 | Unexpected: 0.21 | Expected: 8.07
Ep 4100 | NORMAL | R: 301 | Avg: 243.1 | NE: 1.47 | ACh: 0.0101 | LR: 0.000100 | TDsig: 1.41 | Unexpected: 0.23 | Expected: 9.77
Ep 4200 | NORMAL | R: 231 | Avg: 218.5 | NE: 1.47 | ACh: 0.0101 | LR: 0.000100 | TDsig: 17.93 | Unexpected: 0.23 | Expected: 8.09
Ep 4300 | NORMAL | R: 156 | Avg: 242.6 | NE: 1.48 | ACh: 0.0101 | LR: 0.000100 | TDsig: 9.37 | Unexpected: 0.23 | Expected: 9.06
Ep 4400 | NORMAL | R: 256 | Avg: 210.6 | NE: 1.49 | ACh: 0.0101 | LR: 0.000100 | TDsig: 17.72 | Unexpected: 0.24 | Expected: 8.63
