episode,is_optimal,surprise
354,1,0.057543
355,1,0.051789
356,1,0.046610
357,1,0.041949
358,1,0.037754
359,1,0.033979
360,1,0.030581
361,0,0.132358
362,1,0.119122
363,1,0.107210
364,0,0.186704
365,1,0.168033
366,1,0.151230
367,1,0.136107
368,1,0.122496
369,1,0.110247
370,1,0.099222
371,1,0.089300
372,1,0.080370
373,1,0.072333
374,1,0.065099
375,1,0.058590
376,1,0.052731
377,1,0.047458
378,1,0.042712
379,1,0.038441
380,1,0.034597
381,1,0.031137
382,1,0.028023
383,1,0.025221
384,1,0.022699
385,1,0.020429
386,1,0.018386
387,0,0.128098
388,1,0.115288
389,1,0.103759
390,1,0.093384
391,1,0.084045
392,1,0.075641
393,0,0.159817
394,1,0.143835
395,1,0.129452
396,1,0.116507
397,1,0.104856
398,1,0.094370
399,1,0.084933
400,1,0.076440
401,0,0.137950
402,1,0.124155
403,0,0.176123
404,1,0.158511
405,0,0.200139
406,1,0.180125
407,1,0.162112
408,0,0.195167
409,1,0.175650
410,1,0.158085
411,1,0.142277
412,1,0.128049
413,1,0.115244
414,1,0.103720
415,1,0.093348
416,1,0.084013
417,1,0.075612
418,1,0.068051
419,1,0.061245
420,1,0.055121
421,1,0.049609
422,1,0.044648
423,1,0.040183
424,1,0.036165
425,1,0.032548
426,1,0.029294
427,1,0.026364
428,1,0.023728
429,1,0.021355
430,1,0.019219
431,1,0.017298
432,1,0.015568
433,0,0.098169
434,1,0.088352
435,1,0.079517
436,1,0.071565
437,1,0.064409
438,1,0.057968
439,1,0.052171
440,1,0.046954
441,1,0.042258
442,1,0.038033
443,1,0.034229
444,0,0.131535
445,0,0.216208
446,1,0.194587
447,1,0.175129
448,0,0.239454
449,1,0.215508
450,1,0.193958
451,1,0.174562
452,1,0.157106
453,1,0.141395
454,1,0.127256
455,1,0.114530
456,0,0.161878
457,1,0.145691
458,1,0.131121
459,1,0.118009
460,1,0.106208
461,0,0.150282
462,0,0.188874
463,1,0.169986
464,1,0.152988
465,1,0.137689
466,1,0.123920
467,1,0.111528
468,1,0.100375
469,1,0.090338
470,1,0.081304
471,1,0.073174
472,1,0.065856
473,1,0.059271
474,0,0.107458
475,1,0.096713
476,1,0.087041
477,1,0.078337
478,1,0.070503
479,1,0.063453
480,1,0.057108
481,0,0.112528
482,1,0.101275
483,1,0.091147
484,0,0.144716
485,1,0.130245
486,1,0.117220
487,0,0.167512
488,1,0.150761
489,0,0.195866
490,1,0.176280
491,1,0.158652
492,1,0.142787
493,0,0.184425
494,1,0.165983
495,1,0.149384
496,1,0.134446
497,1,0.121001
498,1,0.108901
499,0,0.151281
500,1,0.136153
501,1,0.122537
502,1,0.110284
503,0,0.152089
504,1,0.136880
505,1,0.123192
506,1,0.110873
507,0,0.152195
508,1,0.136975
509,1,0.123278
510,1,0.110950
511,1,0.099855
512,1,0.089870
513,1,0.080883
514,0,0.127063
515,1,0.114357
516,1,0.102921
517,1,0.092629
518,1,0.083366
519,1,0.075030
520,1,0.067527
521,1,0.060774
522,1,0.054697
523,0,0.111429
524,1,0.100286
525,1,0.090257
526,1,0.081231
527,1,0.073108
528,1,0.065797
529,1,0.059218
530,1,0.053296
531,0,0.119011
532,1,0.107110
533,1,0.096399
534,1,0.086759
535,1,0.078083
536,1,0.070275
537,0,0.138443
538,1,0.124598
539,1,0.112138
540,1,0.100925
541,1,0.090832
542,0,0.157012
543,1,0.141311
544,1,0.127180
545,1,0.114462
546,1,0.103016
547,1,0.092714
548,1,0.083443
549,1,0.075098
550,1,0.067589
551,1,0.060830
552,1,0.054747
553,1,0.049272
554,1,0.044345
555,1,0.039910
556,1,0.035919
557,1,0.032327
558,1,0.029095
559,1,0.026185
560,1,0.023567
561,1,0.021210
562,1,0.019089
563,1,0.017180
564,1,0.015462
565,1,0.013916
566,0,0.118818
567,1,0.106936
568,1,0.096243
569,1,0.086618
570,1,0.077957
571,1,0.070161
572,1,0.063145
573,1,0.056830
574,1,0.051147
575,1,0.046033
576,0,0.137546
577,1,0.123791
578,1,0.111412
579,1,0.100271
580,0,0.176953
581,0,0.242080
582,1,0.217872
583,1,0.196085
584,1,0.176476
585,1,0.158829
586,1,0.142946
