Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
400: Ret: -231.08; Last 100 Avg Ret: -106.49; Var: 0.00094617; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: 9.74; Last 100 Avg Ret: -103.29; Var: 0.00086041; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: -14.23; Last 100 Avg Ret: -90.36; Var: 0.00038864; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: -35.97; Last 100 Avg Ret: -81.54; Var: 0.00082218; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: -73.09; Last 100 Avg Ret: -79.66; Var: 0.00118459; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: -15.04; Last 100 Avg Ret: -79.41; Var: 0.00070188; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: 66.65; Last 100 Avg Ret: -68.79; Var: 0.00051710; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: -8.93; Last 100 Avg Ret: -62.73; Var: 0.00073585; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: 64.40; Last 100 Avg Ret: -54.24; Var: 0.00058174; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: 18.58; Last 100 Avg Ret: -42.65; Var: 0.00027885; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
500: Ret: -131.11; Last 100 Avg Ret: -37.19; Var: 0.00025118; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: 85.98; Last 100 Avg Ret: -34.24; Var: 0.00022354; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
520: Ret: 151.57; Last 100 Avg Ret: -31.73; Var: 0.00203878; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
530: Ret: -14.25; Last 100 Avg Ret: -27.04; Var: 0.00107183; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
540: Ret: -31.04; Last 100 Avg Ret: -21.23; Var: 0.00052564; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
550: Ret: 173.82; Last 100 Avg Ret: -11.79; Var: 0.00029822; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
560: Ret: -74.21; Last 100 Avg Ret: -12.95; Var: 0.00016920; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
570: Ret: -27.15; Last 100 Avg Ret: -15.49; Var: 0.00083563; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
580: Ret: -1.26; Last 100 Avg Ret: -14.97; Var: 0.00016622; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
590: Ret: -1.37; Last 100 Avg Ret: -8.84; Var: 0.00033273; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
600: Ret: 140.76; Last 100 Avg Ret: 4.12; Var: 0.00001928; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
610: Ret: -48.95; Last 100 Avg Ret: 2.30; Var: 0.00026683; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
620: Ret: -265.87; Last 100 Avg Ret: -7.02; Var: 0.00076720; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
630: Ret: -5.02; Last 100 Avg Ret: -3.78; Var: 0.00025388; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
640: Ret: -161.60; Last 100 Avg Ret: -7.36; Var: 0.00013461; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
650: Ret: -34.49; Last 100 Avg Ret: -8.50; Var: 0.00016847; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
660: Ret: -24.10; Last 100 Avg Ret: -5.68; Var: 0.00032629; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
670: Ret: -13.04; Last 100 Avg Ret: -0.86; Var: 0.00125606; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
680: Ret: 167.42; Last 100 Avg Ret: 3.05; Var: 0.00306630; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
690: Ret: -139.01; Last 100 Avg Ret: 2.64; Var: 0.00023055; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
700: Ret: -17.91; Last 100 Avg Ret: -0.49; Var: 0.00061606; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
710: Ret: -38.70; Last 100 Avg Ret: 1.17; Var: 0.00105607; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
720: Ret: 161.68; Last 100 Avg Ret: 19.22; Var: 0.00071960; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
730: Ret: 214.70; Last 100 Avg Ret: 24.54; Var: 0.00024459; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
740: Ret: 122.71; Last 100 Avg Ret: 33.05; Var: 0.00010395; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
750: Ret: -109.42; Last 100 Avg Ret: 34.22; Var: 0.00041122; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
760: Ret: 166.68; Last 100 Avg Ret: 43.89; Var: 0.00082436; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
770: Ret: 179.11; Last 100 Avg Ret: 51.54; Var: 0.00018013; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
780: Ret: -55.91; Last 100 Avg Ret: 49.41; Var: 0.00023347; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
790: Ret: -8.85; Last 100 Avg Ret: 58.45; Var: 0.00030745; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
800: Ret: -28.95; Last 100 Avg Ret: 58.76; Var: 0.00068261; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
810: Ret: 195.99; Last 100 Avg Ret: 66.98; Var: 0.00052318; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
820: Ret: 204.46; Last 100 Avg Ret: 71.65; Var: 0.00057011; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
830: Ret: 212.64; Last 100 Avg Ret: 75.00; Var: 0.00021306; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
840: Ret: -36.18; Last 100 Avg Ret: 79.65; Var: 0.00025597; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
850: Ret: 133.79; Last 100 Avg Ret: 90.16; Var: 0.00031677; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
860: Ret: 206.50; Last 100 Avg Ret: 90.00; Var: 0.00003481; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
870: Ret: 179.55; Last 100 Avg Ret: 94.12; Var: 0.00006588; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
880: Ret: 197.22; Last 100 Avg Ret: 102.48; Var: 0.00140931; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
890: Ret: 108.92; Last 100 Avg Ret: 94.60; Var: 0.00030410; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
900: Ret: -24.99; Last 100 Avg Ret: 99.73; Var: 0.00034651; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
910: Ret: -86.08; Last 100 Avg Ret: 99.71; Var: 0.00125311; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
920: Ret: -46.83; Last 100 Avg Ret: 87.43; Var: 0.00085209; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
930: Ret: -27.41; Last 100 Avg Ret: 87.95; Var: 0.00029969; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
940: Ret: 247.97; Last 100 Avg Ret: 93.33; Var: 0.00018579; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
950: Ret: -64.83; Last 100 Avg Ret: 89.84; Var: 0.00074995; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
960: Ret: 29.02; Last 100 Avg Ret: 82.68; Var: 0.00048584; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
970: Ret: -63.87; Last 100 Avg Ret: 62.67; Var: 0.00072745; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
980: Ret: 209.33; Last 100 Avg Ret: 53.83; Var: 0.00025362; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
990: Ret: -73.60; Last 100 Avg Ret: 49.08; Var: 0.00094068; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
1000: Ret: -109.61; Last 100 Avg Ret: 38.93; Var: 0.00091769; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
1010: Ret: -605.57; Last 100 Avg Ret: 5.15; Var: 0.00195743; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
