Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -322.90; Last 100 Avg Ret: -141.62; Var: 0.00036634; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -87.83; Last 100 Avg Ret: -135.38; Var: 0.00296708; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -253.78; Last 100 Avg Ret: -156.98; Var: 0.00168481; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -133.05; Last 100 Avg Ret: -163.92; Var: 0.00203393; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -91.77; Last 100 Avg Ret: -156.65; Var: 0.00165703; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: 17.98; Last 100 Avg Ret: -154.48; Var: 0.00269489; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -281.86; Last 100 Avg Ret: -159.25; Var: 0.00097316; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -271.59; Last 100 Avg Ret: -156.79; Var: 0.00093830; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -152.95; Last 100 Avg Ret: -157.95; Var: 0.00337021; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -331.08; Last 100 Avg Ret: -158.53; Var: 0.00139234; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -11.89; Last 100 Avg Ret: -162.76; Var: 0.00110657; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -279.16; Last 100 Avg Ret: -169.09; Var: 0.00084382; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -102.61; Last 100 Avg Ret: -164.15; Var: 0.00306938; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
140: Ret: -100.26; Last 100 Avg Ret: -162.98; Var: 0.00103647; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
150: Ret: -46.65; Last 100 Avg Ret: -162.13; Var: 0.00093982; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
160: Ret: -47.95; Last 100 Avg Ret: -160.08; Var: 0.00451665; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
170: Ret: -195.70; Last 100 Avg Ret: -159.28; Var: 0.00089788; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
180: Ret: -129.98; Last 100 Avg Ret: -162.27; Var: 0.00042985; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
190: Ret: -217.85; Last 100 Avg Ret: -165.45; Var: 0.00002275; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
200: Ret: -206.31; Last 100 Avg Ret: -165.11; Var: 0.00105922; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
210: Ret: -193.97; Last 100 Avg Ret: -156.35; Var: 0.00065514; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
220: Ret: -28.49; Last 100 Avg Ret: -143.45; Var: 0.00060114; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
230: Ret: -101.65; Last 100 Avg Ret: -136.50; Var: 0.00107271; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
240: Ret: -213.25; Last 100 Avg Ret: -134.72; Var: 0.00179139; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
250: Ret: -65.02; Last 100 Avg Ret: -134.22; Var: 0.00084648; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
260: Ret: -72.86; Last 100 Avg Ret: -130.18; Var: 0.00046700; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
270: Ret: -43.05; Last 100 Avg Ret: -116.15; Var: 0.00032003; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
280: Ret: 17.67; Last 100 Avg Ret: -111.32; Var: 0.00153878; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
290: Ret: -188.14; Last 100 Avg Ret: -101.08; Var: 0.00099996; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
300: Ret: -10.09; Last 100 Avg Ret: -95.19; Var: 0.00012588; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
310: Ret: 142.78; Last 100 Avg Ret: -96.15; Var: 0.00090096; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
320: Ret: -62.54; Last 100 Avg Ret: -94.59; Var: 0.00123902; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
330: Ret: 55.16; Last 100 Avg Ret: -97.10; Var: 0.00118560; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
340: Ret: -161.27; Last 100 Avg Ret: -85.48; Var: 0.00111573; NE: 1.147; ACh: 0.000; ActLR: 0.00006250; Solved: N
350: Ret: 2.03; Last 100 Avg Ret: -76.87; Var: 0.00046385; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
360: Ret: -30.88; Last 100 Avg Ret: -70.94; Var: 0.00072488; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
370: Ret: -51.81; Last 100 Avg Ret: -71.92; Var: 0.00062457; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
380: Ret: 159.78; Last 100 Avg Ret: -63.22; Var: 0.00065437; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
390: Ret: -3.76; Last 100 Avg Ret: -50.34; Var: 0.00070060; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
400: Ret: -23.41; Last 100 Avg Ret: -39.82; Var: 0.00066027; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: -27.36; Last 100 Avg Ret: -36.39; Var: 0.00163709; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: -254.54; Last 100 Avg Ret: -36.89; Var: 0.00029600; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: 6.78; Last 100 Avg Ret: -28.93; Var: 0.00108993; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: -52.82; Last 100 Avg Ret: -24.99; Var: 0.00049530; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: 48.27; Last 100 Avg Ret: -25.47; Var: 0.00110709; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: -60.43; Last 100 Avg Ret: -28.99; Var: 0.00080550; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: -17.73; Last 100 Avg Ret: -24.71; Var: 0.00025441; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: -34.54; Last 100 Avg Ret: -22.04; Var: 0.00189594; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: -3.88; Last 100 Avg Ret: -26.77; Var: 0.00052779; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
500: Ret: -137.63; Last 100 Avg Ret: -28.45; Var: 0.00126401; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: -9.13; Last 100 Avg Ret: -22.78; Var: 0.00112769; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
