episode,reward,avg_surprise,mean_abs_td
0,20.0,7.266177880563378e-25,0.9963071465492248
1,21.0,1.1265936588657089e-05,0.9946756306148711
2,17.0,1.1265936588657094e-39,0.9931147519279929
3,10.0,1.1265936588657097e-59,0.971699345111847
4,15.0,1.12659365886571e-89,0.9841566801071167
5,13.0,1.1265936588657106e-115,0.9762871540509738
6,34.0,1.9605205839496672e-10,0.9856900257222793
7,14.0,1.2887754245350394e-23,0.9581352940627507
8,21.0,9.004786738110892e-07,0.983287323088873
9,29.0,1.202457234250896e-22,0.9851052308904713
10,13.0,1.2024572342508964e-48,0.9363984511448786
11,20.0,7.134362624614182e-11,0.9509901165962219
12,13.0,7.134362624614183e-37,0.9324466861211337
13,26.0,0.0002845600514460359,0.9891726764348837
14,13.0,1.1059100314205452e-06,0.9747860936018137
15,25.0,0.00014064363555641338,0.96567462682724
16,15.0,1.3624286744039933e-10,0.9488144556681315
17,19.0,0.00014642389997113496,0.9683046372313249
18,32.0,2.630813748179065e-13,0.9242924246937037
19,30.0,0.0002996973177120805,1.0277923226356507
20,33.0,2.7224765652968843e-37,0.9437008752967372
21,22.0,2.722476565296886e-81,0.8811892731623217
22,12.0,2.7224765652968866e-105,0.857008288304011
23,20.0,8.491819082751239e-09,1.0158419102430343
24,12.0,0.0003622940742814824,0.9867761234442393
25,18.0,1.3686667452524083e-05,0.9751585953765445
26,24.0,1.368666745252409e-53,0.8054326474666595
27,32.0,2.173381969355134e-16,0.9362810682505369
28,11.0,2.1733819693551348e-38,0.7837733030319214
29,19.0,1.6979617730754972e-30,0.8882459778534738
30,19.0,1.6979617730754976e-68,0.8503795077926234
31,23.0,0.0005254283068024054,1.026479290879291
32,42.0,0.0007055478662621569,0.9096887750285012
33,15.0,2.3477504626554185e-05,0.9008417884508769
34,34.0,2.6753430449056916e-26,0.9353048520929673
35,18.0,5.601986323872149e-05,0.9189366632037692
36,30.0,1.3067168645220324e-12,0.889356275399526
37,38.0,2.332008792272313e-06,1.0023993849754333
38,14.0,3.668874750877734e-12,0.8312886187008449
39,27.0,3.6688747508777354e-66,0.8067375068311338
40,15.0,0.0004413299465462283,0.9987133661905925
41,26.0,2.4753893951225143e-08,1.00080806016922
42,14.0,0.00012425540319309307,0.8994554451533726
43,25.0,0.0331783941744481,1.0877095365524292
44,22.0,3.3178394174448108e-46,0.713221089406447
45,13.0,0.03459069981315526,1.0597768288392286
46,22.0,0.00032785592853616034,0.9555338566953485
47,25.0,0.11338388838616185,1.1619227266311645
48,28.0,0.00024569462361577043,0.8485073915549687
49,15.0,4.766100488252608e-06,0.8728777726491292
50,49.0,3.1378588206445515e-30,0.9085823759740713
51,13.0,2.213954442935691e-20,0.9265718460083008
52,39.0,2.8121853407462554e-08,0.9025974854444846
53,27.0,2.8922712358867793e-19,0.8426636634049592
54,16.0,0.011631619056429886,0.9892144203186035
55,17.0,0.09980221566830572,1.0659412285860848
56,18.0,0.028445716094605524,0.9040574961238437
57,17.0,4.4934336177729334e-10,0.8898167189429788
58,12.0,1.42995923157361e-10,0.7825667063395182
59,14.0,3.7901900318773505e-12,0.9085692678179059
60,13.0,3.7901900318773516e-38,0.6685264385663546
61,22.0,0.00019632365501345755,1.0165225646712563
62,37.0,0.01872995556682491,0.9398044412200516
63,17.0,0.03443193754521282,1.0001008791082047
64,19.0,0.014317922584817386,0.9537756882215801
65,26.0,3.358430792679363e-12,1.0150426947153532
66,24.0,1.0400140908499192e-14,0.8773955851793289
67,13.0,0.00024701549110623565,1.0159342655768762
68,22.0,8.759125065710455e-09,1.056353130123832
69,17.0,8.759125065710456e-43,0.7611549812204698
70,27.0,0.12245538778600897,1.034478576095016
71,22.0,4.253679109357527e-05,0.8716493736613881
72,18.0,0.0933603477318294,0.9763004117541842
73,15.0,0.18003362774768494,1.0990703264872232
74,34.0,0.21511245476096083,1.2207524986828076
75,19.0,0.14471611726395947,1.1527000289214284
76,40.0,0.13323713449142546,1.166484248638153
77,12.0,4.2374637535854324e-16,0.7915371656417847
78,13.0,2.4153497407076146e-12,0.9983225785768949
79,37.0,4.057156042744476e-18,1.0021017950934332
80,18.0,0.22111098210714922,1.4500692817899916
81,18.0,6.8481702288949515e-22,0.8182796835899353
82,22.0,0.0077450088450708434,1.065937253561887
83,21.0,0.10424643902720068,1.205667359488351
84,17.0,4.559086514687274e-10,1.0589261475731344
85,19.0,0.000295399133410612,1.1716207391337345
86,16.0,3.711803091763522e-15,0.9208564758300781
87,17.0,3.711803091763523e-49,0.9965763092041016
88,12.0,3.711803091763523e-73,0.7887688080469767
89,14.0,0.200621824448639,1.3258183683667863
90,15.0,0.11846034597883481,1.2732663790384928
91,37.0,0.024394064656132565,0.9779874279692367
92,19.0,1.411845553428263e-12,0.9882017185813502
93,79.0,0.12756187493642843,1.4017377141155773
94,17.0,0.07394058334824626,1.0590144465951359
95,26.0,2.5796323893127947e-51,0.9545156680620633
96,10.0,7.829540116451468e-08,1.0826473236083984
97,22.0,3.8820481801068945e-22,1.0477174737236716
98,24.0,0.06184148820197445,1.208221822977066
99,32.0,3.8253913918365016e-28,1.108738362789154
100,22.0,3.825391391836502e-72,0.8691870515996759
101,14.0,3.8253913918365037e-100,0.8730499063219342
102,21.0,3.825391391836504e-142,0.8787200450897217
103,23.0,7.08435551772618e-09,0.9888583784518035
104,30.0,0.139435691534018,1.3313191970189413
105,14.0,0.02372297522224519,1.0812304701123918
106,39.0,0.2075864256900497,1.407703045086983
107,15.0,0.01733531641917918,1.346979022026062
108,21.0,0.11856396142526086,1.2061860447838193
109,23.0,2.817041763425876e-10,1.2267208203025486
110,30.0,3.5005319177247665e-14,1.2148864626884461
111,25.0,0.28131090597837966,1.70528395652771
112,18.0,5.514944515976214e-10,1.1712293359968398
113,20.0,3.038672766751776e-08,1.3239266276359558
114,13.0,4.0392383457524014e-08,1.2917702014629657
115,11.0,0.037983167576405324,1.180304397236217
116,14.0,2.746782091926672e-20,0.9790398733956474
117,13.0,5.699399359308651e-16,1.0439613782442534
118,30.0,2.204588541571834e-06,1.116052254041036
119,15.0,0.14600809953183186,1.725833781560262
120,16.0,0.15216777380690233,1.5439488291740417
121,14.0,8.556542558300155e-12,1.1677114622933524
122,19.0,0.23106672779102516,1.5327167636469792
123,13.0,0.047925588927074714,1.38122166120089
124,21.0,3.8686405964069854e-42,0.9061637946537563
125,10.0,3.9983462592187145e-14,1.0659839630126953
126,13.0,4.014711199679852e-17,1.346450842343844
127,12.0,4.014711199679853e-41,1.0130691130956013
128,17.0,2.2453821183864862e-08,1.2516623665304745
129,19.0,3.187915940464064e-06,1.398838720823589
130,36.0,0.14456479836911867,1.3266500234603882
131,36.0,3.3298590818794774e-30,1.2362005511919658
132,20.0,4.7588793302668065e-06,1.4990086436271668
133,33.0,6.2832996843685e-14,1.4460680484771729
134,19.0,4.2695524535879495e-16,1.1531299415387606
135,15.0,0.023697993405773814,1.3678597927093505
136,36.0,1.3657980198254327e-16,1.3070187701119318
137,22.0,2.755516717241e-14,1.2692034894769841
138,26.0,0.09381044480872762,1.2539024444726796
139,18.0,4.545015642233871e-30,1.0135538048214383
140,26.0,0.10459671120806323,1.457991178219135
141,15.0,0.2286742939785749,1.6598035971323648
142,20.0,4.309448400990803e-14,1.200243842601776
143,11.0,4.2227307906646644e-16,0.9638138684359464
144,15.0,1.0277210390856615e-19,1.2319249629974365
145,23.0,3.5304275295571745e-08,1.47659534993379
146,19.0,0.11565255343026722,1.5059214516689903
147,30.0,7.785267483927427e-20,1.3692500034968058
148,26.0,2.1246476048993266e-08,1.441483029952416
149,9.0,8.567565933715752e-08,1.3740420871310763
150,14.0,3.0189023458276327e-10,1.3158374854496546
151,12.0,1.6483876673641083e-06,1.4817097385724385
152,10.0,3.325667175887337e-23,0.9179298639297485
153,16.0,3.4090739004460894e-06,1.4656376987695694
154,82.0,3.892657686577245e-12,1.4266255454319279
155,10.0,3.892657686577244e-32,0.9876386642456054
156,28.0,0.06972343533759137,1.4380260961396354
157,14.0,0.08379782858583891,1.6161847625459944
158,47.0,7.190155165990513e-40,1.3840911388397217
159,15.0,0.10245285002536324,1.5730476379394531
160,20.0,1.0751839615219287e-20,1.1806942343711853
161,16.0,1.1736693505841998e-11,1.1720976382493973
162,47.0,8.634709871568327e-22,1.4968055004769183
163,10.0,2.8917464206037563e-16,1.235360074043274
164,17.0,2.1620603644277654e-14,1.4119914980495678
165,10.0,0.07697876160517421,1.5092554807662963
166,45.0,4.202210166962075e-10,1.4394562562306723
167,11.0,3.170298877173641e-20,1.0067805593663997
168,10.0,3.170298877173641e-40,1.2745742321014404
169,22.0,2.886563489690529e-19,1.36317101391879
170,22.0,5.087122321098245e-41,1.2490708394484087
171,22.0,0.037495205734027336,1.4887855486436323
172,9.0,0.08803191827554302,1.3662162091996934
173,31.0,0.18043291142218534,1.5899572987710275
174,15.0,0.15762919152290866,1.5989190419514974
175,28.0,7.379998984150341e-26,1.1379648361887251
176,17.0,3.9512422738973557e-10,1.3357907744014965
177,21.0,0.07015851936169927,1.656290814990089
178,19.0,0.1212500507480508,1.4528277296768992
179,12.0,0.04412063161719324,1.4820249279340107
180,12.0,4.4120631617193246e-26,1.0659343600273132
181,42.0,4.93707809055426e-64,1.2415351867675781
182,23.0,0.09359969304024231,1.52754719361015
183,28.0,1.416317170039982e-12,1.297165036201477
184,25.0,0.18922186765501597,1.6770544719696046
185,34.0,2.6697052982878074e-10,1.1894041790681726
186,21.0,0.3273029086221994,1.8858411539168585
187,17.0,1.0489320978628106e-15,1.24686458531548
