Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -150.43; Last 100 Avg Ret: -145.37; Var: 0.00057969; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -457.26; Last 100 Avg Ret: -197.99; Var: 0.00294131; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -581.71; Last 100 Avg Ret: -243.52; Var: 0.00180262; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -426.02; Last 100 Avg Ret: -275.58; Var: 0.00340346; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -123.37; Last 100 Avg Ret: -269.76; Var: 0.00433998; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -133.36; Last 100 Avg Ret: -253.60; Var: 0.00145493; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -81.08; Last 100 Avg Ret: -236.34; Var: 0.00080816; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -114.98; Last 100 Avg Ret: -222.34; Var: 0.00084097; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -120.13; Last 100 Avg Ret: -215.45; Var: 0.00035216; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -293.86; Last 100 Avg Ret: -225.01; Var: 0.00056446; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -148.20; Last 100 Avg Ret: -240.97; Var: 0.00064720; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -115.35; Last 100 Avg Ret: -226.93; Var: 0.00263170; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -99.31; Last 100 Avg Ret: -205.62; Var: 0.00114520; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
140: Ret: -192.56; Last 100 Avg Ret: -182.35; Var: 0.00354629; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
150: Ret: -75.39; Last 100 Avg Ret: -166.96; Var: 0.00075173; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
160: Ret: -118.86; Last 100 Avg Ret: -162.71; Var: 0.00034315; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
170: Ret: -154.89; Last 100 Avg Ret: -162.19; Var: 0.00182286; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
180: Ret: 121.96; Last 100 Avg Ret: -157.93; Var: 0.00028183; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
190: Ret: -55.89; Last 100 Avg Ret: -150.09; Var: 0.00025438; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
200: Ret: -183.51; Last 100 Avg Ret: -136.52; Var: 0.00051447; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
210: Ret: -54.66; Last 100 Avg Ret: -121.65; Var: 0.00085423; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
220: Ret: -140.57; Last 100 Avg Ret: -124.10; Var: 0.00022339; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
230: Ret: -166.35; Last 100 Avg Ret: -127.21; Var: 0.00164632; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
240: Ret: -85.26; Last 100 Avg Ret: -122.25; Var: 0.00021347; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
250: Ret: -194.20; Last 100 Avg Ret: -122.82; Var: 0.00088795; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
260: Ret: -32.19; Last 100 Avg Ret: -119.10; Var: 0.00064843; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
270: Ret: -185.68; Last 100 Avg Ret: -117.33; Var: 0.00065907; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
280: Ret: -119.83; Last 100 Avg Ret: -114.84; Var: 0.00051422; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
290: Ret: -151.85; Last 100 Avg Ret: -117.55; Var: 0.00110826; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
300: Ret: -2.32; Last 100 Avg Ret: -108.45; Var: 0.00047112; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
310: Ret: -133.74; Last 100 Avg Ret: -99.90; Var: 0.00096306; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
320: Ret: -27.45; Last 100 Avg Ret: -94.92; Var: 0.00070912; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
330: Ret: -276.93; Last 100 Avg Ret: -84.81; Var: 0.00045902; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
340: Ret: 244.08; Last 100 Avg Ret: -84.88; Var: 0.00064946; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
350: Ret: -144.55; Last 100 Avg Ret: -80.20; Var: 0.00053655; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
360: Ret: 256.61; Last 100 Avg Ret: -62.57; Var: 0.00015648; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
370: Ret: -164.31; Last 100 Avg Ret: -61.54; Var: 0.00074783; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
380: Ret: 311.42; Last 100 Avg Ret: -56.79; Var: 0.00151578; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
390: Ret: -5.64; Last 100 Avg Ret: -58.66; Var: 0.00056459; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
400: Ret: -23.01; Last 100 Avg Ret: -54.62; Var: 0.00027489; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: -46.13; Last 100 Avg Ret: -51.33; Var: 0.00056750; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: -75.55; Last 100 Avg Ret: -42.74; Var: 0.00135941; NE: 1.146; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: -86.11; Last 100 Avg Ret: -34.41; Var: 0.00117550; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: -126.35; Last 100 Avg Ret: -26.38; Var: 0.00051549; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: -154.05; Last 100 Avg Ret: -30.54; Var: 0.00092003; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: -10.79; Last 100 Avg Ret: -39.03; Var: 0.00035980; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: -57.98; Last 100 Avg Ret: -22.44; Var: 0.00091435; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: -165.76; Last 100 Avg Ret: -13.44; Var: 0.00072768; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: -29.68; Last 100 Avg Ret: 3.15; Var: 0.00100602; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
500: Ret: -21.82; Last 100 Avg Ret: 13.88; Var: 0.00043238; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: -89.37; Last 100 Avg Ret: 29.28; Var: 0.00046649; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
