40: Ret: -375.89; Last 100 Avg Ret: -189.41; Var: 0.00096103; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 2; Solved: N
41: Ret: -176.28; Last 100 Avg Ret: -189.09; Var: 0.00096103; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 2; Solved: N
42: Ret: -494.63; Last 100 Avg Ret: -196.37; Var: 0.00095702; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 2; Solved: N
43: Ret: -201.54; Last 100 Avg Ret: -196.49; Var: 0.00096092; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 2; Solved: N
44: Ret: -84.72; Last 100 Avg Ret: -193.95; Var: 0.00096106; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 2; Solved: N
45: Ret: -281.95; Last 100 Avg Ret: -195.90; Var: 0.00096103; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 2; Solved: N
46: Ret: -64.40; Last 100 Avg Ret: -193.04; Var: 0.00095962; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
47: Ret: -142.55; Last 100 Avg Ret: -191.97; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
48: Ret: -177.16; Last 100 Avg Ret: -191.66; Var: 0.00093076; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 3; Solved: N
49: Ret: -103.34; Last 100 Avg Ret: -189.86; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
50: Ret: -221.59; Last 100 Avg Ret: -190.49; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
51: Ret: -93.35; Last 100 Avg Ret: -188.59; Var: 0.00096103; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
52: Ret: -214.97; Last 100 Avg Ret: -189.10; Var: 0.00094995; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
53: Ret: -127.96; Last 100 Avg Ret: -187.94; Var: 0.00092924; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 3; Solved: N
54: Ret: -370.90; Last 100 Avg Ret: -191.33; Var: 0.00096050; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
55: Ret: -209.38; Last 100 Avg Ret: -191.66; Var: 0.00094993; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
56: Ret: -138.54; Last 100 Avg Ret: -190.71; Var: 0.00094993; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
57: Ret: -115.37; Last 100 Avg Ret: -189.39; Var: 0.00095701; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
58: Ret: -198.88; Last 100 Avg Ret: -189.55; Var: 0.00094564; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
59: Ret: -138.42; Last 100 Avg Ret: -188.69; Var: 0.00095674; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 3; Solved: N
60: Ret: -293.47; Last 100 Avg Ret: -190.43; Var: 0.00093016; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 3; Solved: N
61: Ret: -75.77; Last 100 Avg Ret: -188.55; Var: 0.00094974; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
62: Ret: -180.95; Last 100 Avg Ret: -188.43; Var: 0.00095694; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
63: Ret: -111.62; Last 100 Avg Ret: -187.21; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
64: Ret: -88.61; Last 100 Avg Ret: -185.67; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 4; Solved: N
