episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,0,0.693247,0.000000,0.010000,0.376027,1
1,0,1.484206,0.000047,0.049879,0.376027,0
2,0,0.350547,0.000167,0.050000,0.376678,0
3,1,1.638274,0.000133,0.010447,0.378383,0
4,1,0.417985,0.000107,0.050000,0.377904,1
5,1,2.091075,0.000085,0.013147,0.377523,0
6,1,0.096233,0.000068,0.050000,0.377221,1
7,1,1.516123,0.000055,0.010000,0.376980,1
8,1,0.312006,0.000149,0.050000,0.376788,0
9,0,1.614157,0.000119,0.010142,0.378125,1
10,1,0.459458,0.000141,0.050000,0.377699,1
11,1,1.542299,0.000290,0.019144,0.378019,0
12,0,0.235045,0.000232,0.050000,0.380198,0
13,1,2.460901,0.000281,0.010014,0.379338,0
14,0,0.020311,0.000225,0.050000,0.380059,0
15,1,1.051955,0.000218,0.010000,0.379229,0
16,1,0.710107,0.000362,0.050000,0.379139,1
17,1,1.087127,0.000635,0.049927,0.381277,0
18,0,0.546473,0.000547,0.050000,0.385583,0
19,1,2.436429,0.000642,0.042050,0.384160,1
20,1,0.018394,0.000890,0.050000,0.385690,0
21,1,0.377016,0.001264,0.010000,0.389865,1
22,1,1.224838,0.001736,0.010975,0.396622,0
23,1,0.322086,0.002284,0.050000,0.406023,1
24,1,1.098253,0.002885,0.010191,0.418147,1
25,1,0.355302,0.003522,0.050000,0.432995,1
26,1,0.961518,0.004178,0.010514,0.450396,1
27,1,0.401935,0.004840,0.050000,0.469956,1
28,1,0.834169,0.005496,0.012005,0.491054,1
29,1,0.445416,0.006137,0.049998,0.512902,1
30,1,0.721798,0.006756,0.016512,0.534658,1
31,1,0.478203,0.007345,0.049949,0.555548,1
32,1,0.629525,0.007902,0.023684,0.574963,1
33,1,0.494367,0.008422,0.049195,0.592508,0
34,1,0.559902,0.008904,0.028314,0.607998,1
35,0,0.492844,0.007989,0.044312,0.621416,0
36,1,4.248606,0.007472,0.027862,0.595166,0
37,0,0.010000,0.005995,0.050000,0.579014,0
38,1,0.016184,0.005127,0.010000,0.529824,0
39,0,0.146175,0.004102,0.010000,0.500531,1
40,0,3.811486,0.003281,0.010001,0.467603,1
41,0,0.010000,0.002625,0.050000,0.443626,0
42,1,0.732095,0.002100,0.010000,0.426378,1
43,1,0.683548,0.001680,0.049962,0.413928,1
44,1,0.685484,0.001344,0.049838,0.404850,1
45,1,0.640094,0.001085,0.049847,0.398146,1
46,0,0.641213,0.000868,0.049411,0.393320,0
47,1,3.247488,0.000695,0.049430,0.389484,1
48,0,0.010000,0.000556,0.050000,0.386556,0
49,0,0.222316,0.000445,0.010000,0.384300,0
50,1,3.215099,0.000356,0.010010,0.382551,1
51,1,0.010000,0.000285,0.050000,0.381186,0
52,1,0.020509,0.000228,0.010000,0.380116,0
53,1,0.262311,0.000368,0.010000,0.379274,1
54,0,0.921640,0.000294,0.010032,0.381366,0
55,1,2.537759,0.000235,0.050000,0.380258,0
56,0,0.010000,0.000188,0.050000,0.379386,0
57,1,1.057629,0.000151,0.010000,0.378697,1
58,1,0.391452,0.000148,0.050000,0.378153,1
59,1,0.952870,0.000440,0.011484,0.378115,1
60,1,0.413410,0.000941,0.050000,0.382479,0
61,0,0.834989,0.000753,0.012771,0.390740,0
62,1,2.827727,0.000770,0.049998,0.387518,1
63,1,0.010000,0.001068,0.050000,0.387817,1
64,1,0.037995,0.001562,0.010000,0.393004,1
65,1,0.346434,0.002188,0.010000,0.402446,1
66,1,0.785247,0.002896,0.010395,0.415940,1
67,1,0.438866,0.003646,0.049992,0.433278,1
68,0,0.665712,0.003224,0.015510,0.453989,0
69,1,3.597733,0.003165,0.049725,0.442042,1
70,1,0.010000,0.003367,0.050000,0.440435,0
71,1,0.010000,0.003751,0.010000,0.446017,1
72,1,0.022294,0.004254,0.010000,0.457044,1
73,1,0.170805,0.004829,0.010000,0.472314,1
74,1,0.587181,0.005441,0.010002,0.490712,0
75,0,0.475743,0.004708,0.047274,0.511055,1
76,1,4.268618,0.004403,0.023028,0.486781,1
77,1,0.010000,0.004405,0.050000,0.476989,0
78,1,0.010000,0.004625,0.010000,0.477074,1
79,1,0.010000,0.004990,0.010000,0.484078,0
80,1,0.012759,0.005448,0.010000,0.496007,1
81,1,0.083101,0.005958,0.010000,0.511296,0
82,1,0.350804,0.006488,0.010000,0.528560,0
83,1,0.508756,0.007017,0.010450,0.546557,0
84,1,0.424759,0.007529,0.032612,0.564243,0
85,0,0.446614,0.006398,0.013789,0.580839,0
86,1,4.885851,0.005768,0.016710,0.543503,1
87,1,0.010000,0.005503,0.050000,0.522107,1
88,1,0.010000,0.005498,0.010000,0.513138,1
89,1,0.010000,0.005673,0.010000,0.512980,0
90,0,0.010000,0.004539,0.010000,0.518898,0
91,1,0.647214,0.003788,0.010000,0.481307,1
92,1,0.378636,0.003488,0.049523,0.458141,1
93,1,0.498773,0.003511,0.011022,0.449441,0
94,1,0.428187,0.003755,0.029632,0.450075,1
95,1,0.443572,0.004146,0.014157,0.457171,1
96,1,0.421038,0.004626,0.016216,0.468966,1
97,1,0.414713,0.005153,0.013423,0.484114,1
98,1,0.402660,0.005695,0.012874,0.501391,1
99,1,0.393204,0.006230,0.012047,0.519633,1
100,1,0.383384,0.006741,0.011561,0.537801,0
101,1,0.374144,0.007219,0.011174,0.555066,0
102,1,0.365176,0.007656,0.010896,0.570858,1
103,1,0.356546,0.008049,0.010689,0.584860,1
104,1,0.348218,0.008395,0.010534,0.596965,0
105,1,0.340181,0.008695,0.010417,0.607212,1
106,1,0.332422,0.008951,0.010328,0.615728,1
107,1,0.324927,0.009163,0.010261,0.622683,0
108,1,0.317686,0.009335,0.010208,0.628256,0
109,1,0.310686,0.009469,0.010168,0.632620,1
110,1,0.303918,0.009567,0.010136,0.635932,0
111,1,0.297370,0.009634,0.010111,0.638327,1
112,1,0.291033,0.009672,0.010091,0.639923,1
113,1,0.284899,0.009684,0.010076,0.640817,1
114,1,0.278959,0.009672,0.010063,0.641092,1
115,1,0.273204,0.009640,0.010053,0.640816,1
116,0,0.267627,0.007712,0.010044,0.640048,0
117,0,6.609522,0.006169,0.010038,0.586607,0
118,1,0.010000,0.004935,0.050000,0.535755,1
119,1,0.010000,0.003948,0.010000,0.494195,1
120,1,0.010000,0.003159,0.010000,0.462941,0
121,1,0.010000,0.002527,0.010000,0.440268,1
122,1,0.010000,0.002022,0.010000,0.423961,1
123,0,0.010000,0.001617,0.010000,0.412174,0
124,1,3.556709,0.001294,0.010000,0.403561,1
125,1,0.010000,0.001035,0.050000,0.397187,0
126,1,0.010000,0.000828,0.010000,0.392411,0
127,1,0.010000,0.000662,0.010000,0.388793,1
128,0,0.010000,0.000530,0.010000,0.386025,0
129,0,3.064879,0.000424,0.010000,0.383890,0
130,1,0.185109,0.000339,0.050000,0.382231,0
131,1,0.432057,0.000271,0.010003,0.380936,0
132,1,0.413172,0.000217,0.014610,0.379920,1
133,1,0.405687,0.000174,0.012753,0.379119,0
134,1,0.394572,0.000139,0.012230,0.378487,1
