window_end_episode,ach_mean,ach_std,sigma_ne_mean,sigma_ne_std
50,0.033668772000000007,0.0019788503679904644,0.39844015399999994,0.01707636621741768
100,0.025166453,0.003833210028324955,0.461555144,0.031011467316066563
150,0.015636944000000003,0.0035460449158328496,0.47068523199999995,0.030013610305666617
200,0.013433591000000003,0.0023042574751314143,0.46374023100000006,0.03228116808461333
250,0.012246779,0.0010215301706454885,0.45514812799999993,0.03014180775392373
300,0.011720330000000003,0.0011353414314029065,0.449423209,0.03562517207958242
350,0.011484512,0.000634689547271735,0.44246255300000004,0.025738009668444268
400,0.011160574000000001,0.0006438061257273034,0.43585828400000004,0.02222881456138819
450,0.011120981000000002,0.0008186182002490538,0.428533177,0.016986441202508896
500,0.010563172000000001,0.0005139190500224724,0.42474388900000004,0.02069789693576279
550,0.010632749000000004,0.0005977879435544017,0.41170718400000006,0.01332330426128382
600,0.010600316000000002,0.00055866277232692,0.406321201,0.01899467709497108
650,0.010251474000000002,0.00036248293869367164,0.409893074,0.015953308614429923
700,0.010320002000000003,0.00039191672594570407,0.399813817,0.010535710468135076
750,0.010440000000000003,0.0005351635264103863,0.39900621999999997,0.009845286017314093
800,0.010240000000000003,0.0003666060555964674,0.39768085400000003,0.010254375532392212
850,0.010200000000000002,0.0003464101615137756,0.39289359,0.009342501579396157
900,0.010080000000000002,0.0002400000000000001,0.3907075590000001,0.008548782515601773
950,0.010000000000000002,1.734723475976807e-18,0.38630757400000004,0.006011143240828994
1000,0.010240000000000003,0.00044542114902640194,0.383852701,0.004365376519126281
1050,0.010120000000000002,0.00028565713714171403,0.38507568999999997,0.006210939076692028
1100,0.010040000000000004,0.0001743559577416271,0.383280384,0.005079992235744459
1150,0.010079990000000002,0.00023997000208359412,0.381424438,0.0032100409487101494
1200,0.010040000000000004,0.0001743559577416271,0.381083605,0.004078617731358873
1250,0.010000000000000002,1.734723475976807e-18,0.3803684020000001,0.0033253076736079667
1300,0.010080000000000002,0.0002400000000000001,0.379172413,0.001672315201154066
1350,0.010000000000000002,1.734723475976807e-18,0.38033548800000005,0.005318708341224979
1400,0.010000000000000002,1.734723475976807e-18,0.378921336,0.002490535631952286
1450,0.010120000000000002,0.0002856571371417141,0.3786825610000001,0.002056401023910217
1500,0.010000000000000002,1.734723475976807e-18,0.37931202399999997,0.0038963788120027643
1550,0.010000000000000002,1.734723475976807e-18,0.37831137400000003,0.0022811134920919514
1600,0.010040000000000004,0.0001743559577416271,0.377836654,0.0014584530979239489
1650,0.010000000000000002,1.734723475976807e-18,0.37810097099999995,0.00261158036984103
1700,0.010040000000000002,0.000174355957741627,0.377569627,0.0013357256268302148
1750,0.010000000000000002,1.734723475976807e-18,0.37786929599999997,0.0024057699503369245
1800,0.010000000000000002,1.734723475976807e-18,0.377327845,0.0009693367884461076
1850,0.010040000000000004,0.0001743559577416271,0.377131449,0.0007298375449228408
1900,0.010040000000000002,0.00017435595774162698,0.37754186000000006,0.002350836493276391
1950,0.010040000000000002,0.00017435595774162695,0.377670029,0.0023690613620881663
2000,0.010000000000000002,1.734723475976807e-18,0.37765354100000004,0.0024142199212290032
2050,0.010000000000000002,1.734723475976807e-18,0.377418609,0.002050706965126671
2100,0.010000000000000002,1.734723475976807e-18,0.377383265,0.002327550744975274
2150,0.010080000000000002,0.00024000000000000011,0.377607845,0.002110507910081127
2200,0.010000000000000002,1.734723475976807e-18,0.37759386399999995,0.0022215365436166093
2250,0.010000000000000002,1.734723475976807e-18,0.3770547740000001,0.0009821351884359004
2300,0.010000000000000002,1.734723475976807e-18,0.37691576300000007,0.0007852934631403792
2350,0.010000000000000002,1.734723475976807e-18,0.37681048000000006,0.0006483478136309175
2400,0.010000000000000002,1.734723475976807e-18,0.376724741,0.0005432991061459611
2450,0.010040000000000002,0.00017435595774162695,0.377034987,0.0016387733509826805
2500,0.010000000000000002,1.734723475976807e-18,0.37685125299999994,0.001115187034040029
2550,0.010000000000000002,1.734723475976807e-18,0.376663871,0.0005690143268310731
2600,0.010000000000000002,1.734723475976807e-18,0.37659836100000005,0.00047373265796123675
2650,0.010000000000000002,1.734723475976807e-18,0.37654468700000004,0.00040335504207954947
2700,0.010000000000000002,1.734723475976807e-18,0.376499036,0.00034729052152916327
2750,0.010040000000000002,0.00017435595774162695,0.376459074,0.00030228025857471767
2800,0.010000000000000002,1.734723475976807e-18,0.376906147,0.002068787846225651
2850,0.010000000000000002,1.734723475976807e-18,0.376579632,0.0007977998961744602
2900,0.010000000000000002,1.734723475976807e-18,0.37648245199999997,0.0005026843895885403
2950,0.010000000000000002,1.734723475976807e-18,0.376440069,0.00042163945045380465
3000,0.010000000000000002,1.734723475976807e-18,0.376404756,0.00035984491557337683
