episode,is_optimal,surprise
354,1,0.000001
355,1,0.000001
356,1,0.000001
357,1,0.000001
358,1,0.000001
359,1,0.000000
360,1,0.000000
361,1,0.000000
362,1,0.000000
363,1,0.000000
364,1,0.000000
365,1,0.000000
366,1,0.000000
367,1,0.000000
368,1,0.000000
369,1,0.000000
370,1,0.000000
371,1,0.000000
372,1,0.000000
373,1,0.000000
374,1,0.000000
375,1,0.000000
376,1,0.000000
377,1,0.000000
378,1,0.000000
379,1,0.000000
380,1,0.000000
381,1,0.000000
382,1,0.000000
383,1,0.000000
384,1,0.000000
385,1,0.000000
386,0,0.075672
387,1,0.068104
388,1,0.061294
389,1,0.055165
390,1,0.049648
391,1,0.044683
392,1,0.040215
393,1,0.036193
394,1,0.032574
395,1,0.029317
396,1,0.026385
397,1,0.023747
398,1,0.021372
399,1,0.019235
400,1,0.017311
401,1,0.015580
402,1,0.014022
403,1,0.012620
404,1,0.011358
405,1,0.010222
406,1,0.009200
407,1,0.008280
408,1,0.007452
409,1,0.006707
410,1,0.006036
411,1,0.005432
412,1,0.004889
413,1,0.004400
414,1,0.003960
415,1,0.003564
416,1,0.003208
417,1,0.002887
418,1,0.002598
419,1,0.002338
420,1,0.002105
421,1,0.001894
422,1,0.001705
423,1,0.001534
424,1,0.001381
425,1,0.001243
426,1,0.001118
427,1,0.001007
428,1,0.000906
429,1,0.000815
430,1,0.000734
431,1,0.000660
432,1,0.000594
433,1,0.000535
434,1,0.000481
435,1,0.000433
436,1,0.000390
437,1,0.000351
438,1,0.000316
439,1,0.000284
440,1,0.000256
441,1,0.000230
442,1,0.000207
443,1,0.000187
444,1,0.000168
445,1,0.000151
446,1,0.000136
447,1,0.000122
448,1,0.000110
449,1,0.000099
450,1,0.000089
451,1,0.000080
452,1,0.000072
453,1,0.000065
454,1,0.000059
455,1,0.000053
456,1,0.000047
457,1,0.000043
458,1,0.000038
459,1,0.000035
460,1,0.000031
461,1,0.000028
462,1,0.000025
463,1,0.000023
464,1,0.000020
465,1,0.000018
466,1,0.000017
467,1,0.000015
468,1,0.000013
469,1,0.000012
470,1,0.000011
471,1,0.000010
472,1,0.000009
473,1,0.000008
474,1,0.000007
475,1,0.000006
476,1,0.000006
477,1,0.000005
478,1,0.000005
479,1,0.000004
480,1,0.000004
481,1,0.000003
482,1,0.000003
483,1,0.000003
484,1,0.000002
485,1,0.000002
486,1,0.000002
487,0,0.078000
488,1,0.070200
489,1,0.063180
490,1,0.056862
491,1,0.051176
492,1,0.046058
493,1,0.041452
494,1,0.037307
495,1,0.033576
496,1,0.030219
497,1,0.027197
498,1,0.024477
499,1,0.022029
500,1,0.019826
501,1,0.017844
502,1,0.016059
503,1,0.014454
504,1,0.013008
505,1,0.011707
506,1,0.010537
507,1,0.009483
508,1,0.008535
509,1,0.007681
510,1,0.006913
511,1,0.006222
512,1,0.005600
513,1,0.005040
514,1,0.004536
515,1,0.004082
516,1,0.003674
517,1,0.003306
518,1,0.002976
519,1,0.002678
520,1,0.002410
521,1,0.002169
522,1,0.001952
523,1,0.001757
524,1,0.001581
525,1,0.001423
526,1,0.001281
527,1,0.001153
528,1,0.001038
529,1,0.000934
530,1,0.000840
531,1,0.000756
532,1,0.000681
533,1,0.000613
534,1,0.000551
535,1,0.000496
536,1,0.000447
537,1,0.000402
538,1,0.000362
539,1,0.000326
540,1,0.000293
541,1,0.000264
542,1,0.000237
543,1,0.000214
544,1,0.000192
545,1,0.000173
546,1,0.000156
547,1,0.000140
548,1,0.000126
549,1,0.000114
550,1,0.000102
551,1,0.000092
552,1,0.000083
553,1,0.000074
554,1,0.000067
555,1,0.000060
556,1,0.000054
557,1,0.000049
