Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
400: Ret: -65.01; Last 100 Avg Ret: -65.27; Var: 0.00067724; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: -41.20; Last 100 Avg Ret: -60.20; Var: 0.00048068; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: -274.41; Last 100 Avg Ret: -57.28; Var: 0.00164692; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: -250.00; Last 100 Avg Ret: -59.11; Var: 0.00115336; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: -143.00; Last 100 Avg Ret: -61.77; Var: 0.00101315; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: 14.67; Last 100 Avg Ret: -50.52; Var: 0.00061022; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: -96.62; Last 100 Avg Ret: -43.67; Var: 0.00193540; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: -81.50; Last 100 Avg Ret: -36.52; Var: 0.00093512; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: -67.07; Last 100 Avg Ret: -46.42; Var: 0.00022436; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: -83.29; Last 100 Avg Ret: -50.97; Var: 0.00045419; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
500: Ret: 36.24; Last 100 Avg Ret: -43.37; Var: 0.00040954; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: 134.42; Last 100 Avg Ret: -35.03; Var: 0.00127975; NE: 1.149; ACh: 0.000; ActLR: 0.00006250; Solved: N
520: Ret: 22.86; Last 100 Avg Ret: -23.21; Var: 0.00051879; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
530: Ret: 200.50; Last 100 Avg Ret: -12.47; Var: 0.00039439; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
540: Ret: -88.66; Last 100 Avg Ret: -6.21; Var: 0.00094212; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
550: Ret: 4.95; Last 100 Avg Ret: -12.21; Var: 0.00028781; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
560: Ret: 206.15; Last 100 Avg Ret: -17.30; Var: 0.00120233; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
570: Ret: -240.99; Last 100 Avg Ret: -3.63; Var: 0.00160384; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
580: Ret: 260.43; Last 100 Avg Ret: 8.41; Var: 0.00033053; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
590: Ret: -221.55; Last 100 Avg Ret: 16.15; Var: 0.00085594; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
600: Ret: -11.98; Last 100 Avg Ret: 14.59; Var: 0.00052702; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
610: Ret: 239.02; Last 100 Avg Ret: 18.52; Var: 0.00067304; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
620: Ret: 274.59; Last 100 Avg Ret: 29.33; Var: 0.00135238; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
630: Ret: -51.43; Last 100 Avg Ret: 34.67; Var: 0.00114605; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
640: Ret: 135.74; Last 100 Avg Ret: 40.05; Var: 0.00042091; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
650: Ret: 5.05; Last 100 Avg Ret: 45.51; Var: 0.00178320; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
660: Ret: 1.17; Last 100 Avg Ret: 47.42; Var: 0.00026306; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
670: Ret: -65.66; Last 100 Avg Ret: 40.79; Var: 0.00041084; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
680: Ret: -64.99; Last 100 Avg Ret: 41.33; Var: 0.00124827; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
690: Ret: -72.09; Last 100 Avg Ret: 44.03; Var: 0.00060471; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
700: Ret: -140.00; Last 100 Avg Ret: 36.13; Var: 0.00062025; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
710: Ret: -52.20; Last 100 Avg Ret: 25.22; Var: 0.00087403; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
720: Ret: 3.21; Last 100 Avg Ret: 8.98; Var: 0.00137030; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
730: Ret: 233.82; Last 100 Avg Ret: 1.69; Var: 0.00142550; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
