Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
400: Ret: -183.87; Last 100 Avg Ret: -96.05; Var: 0.00063627; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: -22.49; Last 100 Avg Ret: -78.96; Var: 0.00066079; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: 210.61; Last 100 Avg Ret: -73.52; Var: 0.00049952; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: -12.87; Last 100 Avg Ret: -69.63; Var: 0.00089135; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: -301.80; Last 100 Avg Ret: -61.77; Var: 0.00062352; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: 143.20; Last 100 Avg Ret: -49.94; Var: 0.00100742; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: -43.16; Last 100 Avg Ret: -55.43; Var: 0.00070976; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: 265.68; Last 100 Avg Ret: -55.85; Var: 0.00109854; NE: 1.145; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: -11.46; Last 100 Avg Ret: -54.00; Var: 0.00038630; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: -35.37; Last 100 Avg Ret: -47.97; Var: 0.00059031; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
500: Ret: -53.37; Last 100 Avg Ret: -44.51; Var: 0.00029550; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
510: Ret: 265.24; Last 100 Avg Ret: -51.05; Var: 0.00061823; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
520: Ret: -20.24; Last 100 Avg Ret: -55.86; Var: 0.00074836; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
530: Ret: -112.95; Last 100 Avg Ret: -60.72; Var: 0.00078121; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
540: Ret: -48.29; Last 100 Avg Ret: -62.99; Var: 0.00071625; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
550: Ret: -189.82; Last 100 Avg Ret: -61.17; Var: 0.00057582; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
