Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
400: Ret: -118.60; Last 100 Avg Ret: -96.11; Var: 0.00031257; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
410: Ret: 146.67; Last 100 Avg Ret: -93.60; Var: 0.00042459; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
420: Ret: -6.19; Last 100 Avg Ret: -86.51; Var: 0.00058302; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
430: Ret: -149.52; Last 100 Avg Ret: -80.44; Var: 0.00092180; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
440: Ret: 45.56; Last 100 Avg Ret: -84.81; Var: 0.00052522; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
450: Ret: -22.16; Last 100 Avg Ret: -86.48; Var: 0.00108353; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
460: Ret: -84.29; Last 100 Avg Ret: -85.12; Var: 0.00088157; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
470: Ret: -19.03; Last 100 Avg Ret: -85.47; Var: 0.00047640; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
480: Ret: 150.48; Last 100 Avg Ret: -78.61; Var: 0.00041811; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
490: Ret: 15.20; Last 100 Avg Ret: -78.47; Var: 0.00025627; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
