episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,28.0,0.0009814746259030921,1.6710736808233033,0.6963174343109131,0.998305170993023,9.175202875917028e-05,0.0010000000000000007,0.9991287610360554
1,13.0,0.0001848461183857614,1.675213224488071,0.7008539529947134,0.9859882347386393,8.557485239334148e-05,0.0010000000000000005,0.992819240460029
2,18.0,3.329891639531994e-06,1.6766260555978336,0.70160554183854,0.9933653133180881,8.727147700617207e-05,0.0010000000000000005,0.9965448247061836
3,32.0,2.6382119597173145e-09,1.6861042132480604,0.7085741329938173,0.9826664247731104,8.041041379240312e-05,0.0010000000000000007,0.9909834992140532
4,23.0,0.00020727726850322536,1.6900015609227566,0.7147973724033522,0.9792924660684517,7.657133211346428e-05,0.0010000000000000007,0.988901990911235
5,23.0,5.013272974122217e-05,1.6939571021596949,0.7186427194139232,0.973193180234588,7.33730200254525e-05,0.0010000000000000007,0.9854543209075928
6,23.0,2.9593140328088754e-07,1.6972441316880675,0.7245830012404401,0.9449747632058915,6.362578609604294e-05,0.0010000000000000007,0.9706422323765962
7,16.0,8.329728484643966e-09,1.7034946338275423,0.7281498163938522,0.959654081518817,6.76397219084044e-05,0.0010000000000000005,0.9767836406826973
8,18.0,0.00015745225691292454,1.7010676554940407,0.7306833234098222,0.9755997361214566,7.08420050597337e-05,0.0010000000000000005,0.9847076800134447
9,24.0,0.004821305227941653,1.7086121418798594,0.7329282884796461,0.9615790564269133,6.416121786504949e-05,0.0010000000000000007,0.9787511726220449
10,11.0,0.00041414696556086477,1.7092995663687045,0.7379953102632002,0.9337728490554217,5.710138442500871e-05,0.0010000000000000002,0.9626971970904957
11,13.0,2.2767970212115892e-05,1.7032272364888463,0.7269846063393813,0.9629896241463866,6.77307956846088e-05,0.0010000000000000005,0.9791804827176608
12,18.0,0.04804688279524007,1.7130256647822635,0.7371047106054094,0.997929600260696,7.584286719349029e-05,0.0010000000000000005,0.9942599336306254
13,42.0,0.0056291670945733015,1.715657916552782,0.745902840580259,0.974647325262979,6.533120188793271e-05,0.0010000000000000007,0.9830356864702134
14,12.0,0.0003868334171985869,1.7249795688759786,0.7476209104061127,0.949125137375653,6.181347132597842e-05,0.0010000000000000002,0.9662020951509476
15,10.0,4.1535921896696394e-05,1.7171270061995962,0.7401572883129119,0.9077800306987929,5.120399817170878e-05,0.0010000000000000002,0.9480719983577728
16,18.0,0.006680567739659546,1.7183637260529128,0.7415317131413354,0.9672421351096242,6.398755108645777e-05,0.0010000000000000005,0.9793994691636827
17,12.0,0.00045908511936880675,1.7224866401141998,0.7460724463065466,0.9071649395713793,4.846322845910252e-05,0.0010000000000000002,0.9469826916853586
18,19.0,6.616113832066239e-06,1.7271431941601825,0.7588261334519637,0.8841476581511172,4.064653208585064e-05,0.0010000000000000005,0.933948278427124
19,18.0,0.03861563771633825,1.730117478876862,0.7572000622749329,0.9987441236323468,6.772914528518152e-05,0.0010000000000000005,0.9902255601353116
20,22.0,0.022091286179934447,1.7265167872621512,0.7482200346209786,0.9442283670098235,5.44989911764377e-05,0.0010000000000000007,0.9673537557775324
21,31.0,0.0769728493173751,1.7349722230379974,0.7681002424609277,0.9983250713275351,6.363236425534182e-05,0.0010000000000000007,0.9914834768541397
22,83.0,0.0023037575297952828,1.7406655458930345,0.7684634421245161,0.9393011784383297,4.8297413974537506e-05,0.0010000000000000007,0.9631651797926569
23,14.0,0.0065850703339200055,1.7444431276375223,0.7640574020998818,0.9456495207081989,4.742168587165832e-05,0.0010000000000000005,0.9614726390157428
24,13.0,0.0003620180700933919,1.7449074329572039,0.769599451468541,0.897937482888937,3.386423019648559e-05,0.0010000000000000005,0.9366726416807908
25,12.0,2.4877692345794488e-05,1.74773401646093,0.771867980559667,0.8835914055281403,3.140347510608433e-05,0.0010000000000000002,0.9252875695625941
26,29.0,0.09676762723747992,1.7514125729791483,0.7744813150372999,0.9848807357318631,5.4238818644613956e-05,0.0010000000000000007,0.9823218892360556
27,10.0,0.010390344857412382,1.7524348665635325,0.7757321059703827,0.8273473624396299,1.5738358796647846e-05,0.0010000000000000002,0.8905480802059174
28,13.0,0.0005712152493663741,1.7551144139017727,0.7840400475722092,0.8474505929111928,2.3273072075748377e-05,0.0010000000000000005,0.899766192986415
29,26.0,0.09586109602808796,1.751713756472442,0.7814489167470199,0.987817554896115,5.348899176746122e-05,0.0010000000000000007,0.9805237444547507
30,18.0,0.016451233607213633,1.7641308256566077,0.7895788417922126,0.8968392409110785,2.8319577896667963e-05,0.0010000000000000005,0.9269845022095574
