window_end_episode,mean_reward_rate,std_reward_rate
10800,48.600000,7.901899
10850,46.800000,7.304793
10900,44.000000,5.761944
10950,48.400000,7.914544
11000,46.600000,5.624944
11050,46.800000,8.471127
11100,47.600000,8.380931
11150,47.900000,6.999286
11200,49.100000,7.306846
11250,48.900000,9.766780
11300,44.800000,6.645299
11350,48.000000,8.625543
11400,50.500000,5.962382
11450,47.200000,5.706137
11500,49.300000,7.022108
11550,47.300000,7.753064
11600,47.600000,6.590903
11650,49.200000,7.413501
11700,46.200000,7.236021
11750,48.200000,5.688585
11800,47.500000,8.691950
11850,49.000000,5.949790
11900,46.700000,6.611354
11950,46.500000,10.057336
12000,50.000000,6.663332
12050,49.500000,6.808083
12100,47.700000,7.163100
12150,46.200000,5.688585
12200,46.300000,6.333246
12250,46.700000,7.804486
12300,44.400000,7.472617
12350,46.800000,6.645299
12400,49.700000,5.908468
12450,47.500000,4.769696
12500,49.000000,4.538722
12550,46.900000,7.732399
12600,44.500000,6.476882
12650,48.400000,7.445804
12700,48.000000,8.461678
12750,46.900000,8.659677
12800,48.000000,8.124038
12850,46.500000,5.286776
12900,48.000000,7.823043
12950,49.000000,6.708204
13000,51.400000,7.158212
13050,48.300000,8.608717
13100,48.200000,6.808818
13150,50.800000,5.844656
13200,47.300000,8.515280
13250,46.000000,4.604346
13300,45.100000,6.526101
13350,48.100000,6.212085
13400,46.700000,7.163100
13450,45.700000,6.205643
13500,46.400000,7.337575
13550,50.000000,7.127412
13600,48.200000,6.749815
13650,47.900000,6.556676
13700,46.500000,7.742739
13750,47.500000,7.664855
13800,49.300000,7.135124
13850,45.700000,4.659399
13900,49.200000,7.959899
13950,47.000000,6.737952
14000,45.600000,6.374951
14050,47.400000,7.696753
14100,49.000000,7.835815
14150,47.100000,5.948949
14200,47.200000,7.934734
14250,44.900000,8.377947
14300,50.500000,6.288879
14350,47.700000,6.878227
14400,46.900000,4.999000
14450,48.000000,7.823043
14500,48.800000,7.304793
14550,46.700000,7.190967
14600,49.300000,6.519969
14650,48.800000,7.984986
14700,46.400000,7.418895
14750,48.400000,4.543127
14800,47.500000,6.778643
14850,47.800000,6.982836
14900,48.400000,6.468385
14950,47.500000,7.067531
15000,48.600000,7.696753
15050,19.800000,11.276524
15100,18.800000,7.440430
15150,19.500000,9.030504
15200,18.100000,7.196527
15250,18.400000,9.624968
15300,20.200000,9.775480
15350,21.100000,7.986864
15400,18.100000,6.556676
15450,20.500000,6.953416
15500,19.700000,6.760917
15550,19.600000,7.709734
15600,21.300000,8.724105
15650,19.500000,8.874120
15700,20.900000,8.728688
15750,20.200000,7.997500
15800,19.900000,7.361386
15850,21.200000,6.705222
15900,18.700000,5.666569
15950,18.800000,8.494704
16000,21.000000,7.362065
16050,18.800000,8.109254
16100,17.300000,8.515280
16150,20.500000,7.067531
16200,19.700000,7.701299
16250,21.400000,8.151074
16300,20.200000,9.228218
16350,20.800000,8.634813
16400,23.300000,7.022108
16450,23.000000,6.913754
16500,21.400000,9.759098
16550,21.000000,6.557439
16600,23.600000,9.090655
16650,22.200000,7.613147
16700,20.700000,6.611354
16750,22.200000,7.263608
16800,22.100000,9.517878
16850,24.600000,8.368990
16900,24.400000,7.657676
16950,26.000000,7.071068
17000,29.200000,11.106755
17050,28.800000,9.785704
17100,26.500000,9.733961
17150,29.100000,9.109885
17200,31.800000,12.440257
17250,30.800000,11.737121
17300,32.600000,11.490866
17350,35.700000,11.853691
17400,32.900000,12.057778
17450,32.200000,13.128595
17500,35.200000,11.249889
17550,37.700000,13.729894
17600,40.100000,13.453252
17650,40.100000,13.122119
17700,41.100000,15.652156
17750,44.500000,15.580436
17800,44.400000,15.370101
17850,47.900000,14.811820
17900,48.200000,15.885843
17950,47.200000,14.851263
18000,52.600000,13.843410
18050,53.600000,15.383108
18100,52.400000,15.213152
18150,55.900000,13.333792
18200,60.400000,11.723481
18250,59.400000,13.915459
18300,62.600000,13.162067
18350,61.400000,13.915459
18400,62.700000,14.412148
18450,66.000000,13.175735
18500,68.700000,13.845938
18550,67.600000,13.951344
18600,68.000000,14.268847
18650,69.100000,13.363757
18700,71.200000,12.448293
18750,72.800000,11.702991
18800,73.200000,13.377593
18850,74.800000,11.124747
18900,75.800000,12.114454
18950,73.900000,10.908254
19000,76.400000,9.414882
19050,78.100000,10.834667
19100,77.400000,11.155268
19150,79.700000,10.435995
19200,80.200000,10.390380
19250,78.900000,11.304424
19300,81.800000,6.569627
19350,79.900000,8.705745
19400,78.800000,10.759182
19450,78.800000,12.172099
19500,81.100000,8.472898
19550,82.500000,8.267406
19600,80.900000,8.354041
19650,79.000000,9.391486
19700,82.200000,8.047360
19750,82.900000,7.495999
19800,81.600000,8.867920
19850,80.300000,8.538735
19900,81.900000,6.617401
19950,81.600000,9.200000
20000,81.400000,7.748548
20050,83.200000,8.084553
20100,81.900000,9.043782
20150,80.300000,7.675285
20200,82.200000,8.600000
20250,82.900000,9.283857
20300,81.500000,9.227676
20350,79.700000,8.538735
20400,80.600000,9.057593
20450,82.500000,8.363612
20500,82.000000,8.390471
20550,82.400000,11.534297
20600,80.000000,9.818350
20650,78.100000,7.361386
20700,79.200000,10.342147
20750,79.400000,10.790737
20800,78.000000,9.899495
20850,77.300000,10.738249
20900,78.700000,10.359054
20950,75.900000,10.516178
21000,77.800000,7.794870
21050,75.200000,13.717143
21100,72.500000,13.219304
21150,74.400000,13.154467
21200,69.800000,9.836666
21250,72.100000,9.240671
21300,70.000000,11.730303
21350,71.300000,9.236341
