config_id,actor_lr_min,base_noise,n_seeds,mean_total,std_total,mean_post,std_post
5,0.0003,0.5,3,97.30630000000001,16.04395804407379,10.958599999999999,0.3409940175428304
8,0.0003,2.0,3,82.69743333333334,3.3211626674002783,11.394066666666667,0.14422847615271162
6,0.0003,1.0,3,82.27783333333333,8.272014424753698,11.074466666666666,0.3198784977664697
0,0.0001,0.5,3,80.62689999999999,5.559189943687843,10.023333333333333,0.07852906043837121
7,0.0003,1.5,3,80.3258,8.310339946716976,11.2068,0.39478789241819406
9,0.0003,3.0,3,73.84116666666667,3.6931698584459065,11.066600000000001,0.16885532268779718
14,0.0005,3.0,3,69.92276666666666,3.5012455445645787,11.966000000000001,0.15273074346705717
11,0.0005,1.0,3,69.08906666666667,8.176330987266434,12.138066666666667,0.29829571457420145
10,0.0005,0.5,3,69.0744,19.912002278776487,11.585066666666666,0.5210602396396539
1,0.0001,1.0,3,68.41016666666667,2.362886688636032,10.2888,0.07036675351328968
13,0.0005,2.0,3,68.3032,5.773128521001418,12.160933333333332,0.2558149591664517
12,0.0005,1.5,3,67.46363333333333,5.239806332617013,12.2154,0.21429447029729903
2,0.0001,1.5,3,52.870333333333335,3.369969543383641,10.553533333333334,0.06281952987195373
19,0.001,3.0,3,41.56856666666666,3.641153537456687,13.873066666666666,0.26279644847929956
3,0.0001,2.0,3,39.4139,2.0695403644287755,10.995533333333332,0.13494388957390133
18,0.001,2.0,3,33.582233333333335,2.4036800147551505,13.915933333333333,0.35746140117966996
17,0.001,1.5,3,30.143733333333333,2.5471142226710874,13.965266666666666,0.5234492270825641
16,0.001,1.0,3,29.0639,2.3755071858447416,13.738533333333333,0.6719359890148268
15,0.001,0.5,3,27.534666666666666,5.934950027029153,13.306799999999999,1.1402854905680415
4,0.0001,3.0,3,26.771066666666666,1.311344067486995,12.939666666666666,0.5126909920540185
21,0.003,1.0,3,24.477600000000002,1.3191078462354775,22.007666666666665,0.615527621909312
23,0.003,2.0,3,23.213133333333335,0.18782782896401073,21.299533333333333,0.6817799156130471
24,0.003,3.0,3,22.942766666666667,0.37735175013948646,18.561666666666667,1.6789990629340237
22,0.003,1.5,3,22.533,0.8135785088115352,20.3064,2.2172109236606254
20,0.003,0.5,3,21.7772,6.380260361458613,22.2314,8.659143544254245
