config_id,n_seeds,mean_total,std_total,mean_post,std_post
71,5,183.30358,38.87477546336442,237.25184,87.08673455692319
2,5,163.70822,42.59877809065654,234.09636,81.06545258806614
28,5,139.57172,81.08260743197027,234.23248,137.3872957787291
38,5,139.57172,81.08260743197027,234.23248,137.3872957787291
54,5,128.53598,13.391707110633803,193.94407999999999,34.2351720406368
77,5,128.47986,27.381675382872388,150.74212,53.63876206207597
25,5,116.45528,41.391405064300486,193.27616,75.41954879862382
18,5,22.66732,1.5192988521025084,18.98372,2.010822421796614
48,5,22.4539,0.8485066293200074,19.50768,1.8407019834834752
49,5,22.34276,1.0453266154652334,21.35592,1.9029338590713034
