config_id,n_seeds,mean_total,std_total,mean_post,std_post
0,3,124.07456666666667,11.884388383225003,116.524,20.0797555752056
1,3,101.90553333333332,35.443544722887594,66.81066666666666,67.45724032313606
2,3,144.40303333333333,46.833337475171824,194.02586666666667,84.34422497416959
3,3,23.043466666666667,0.37468280362639245,17.928133333333335,1.3934243335514598
4,3,22.954066666666666,0.4865740676745248,17.386533333333333,1.2829204236168872
5,3,82.47923333333333,33.167760089631216,44.7748,60.189119956350915
6,3,31.151366666666668,3.885246814982716,11.897933333333333,0.5888368987532393
7,3,38.29643333333333,13.146587583222246,28.5468,20.71972547791114
8,3,33.5851,2.843595229634483,11.413666666666666,0.2652139010936889
9,3,23.521966666666668,1.3282154845255092,23.218066666666665,3.873791988908714
10,3,124.47203333333333,6.9960560956394025,196.94606666666667,20.436906843584058
11,3,23.598666666666666,0.5965803326739274,17.119933333333332,1.9246831773913684
12,3,22.5431,0.23868592333859998,19.344133333333332,1.4056369991336064
13,3,51.24686666666666,9.156067444232448,14.974733333333333,0.15725804695891782
14,3,22.6742,0.1876184692401033,19.803533333333334,1.8075368027604115
15,3,55.438266666666664,21.229146805355445,28.113466666666667,21.177041100525194
16,3,83.4872,38.18620995699887,54.93633333333334,42.232040125636054
17,3,38.579033333333335,2.4200077775357096,11.129,0.21014318927816786
18,3,132.4854,8.533618033987686,106.96886666666667,20.7851882506109
19,3,99.20186666666666,5.20487222161441,10.946466666666668,2.3796434802997974
20,3,22.668833333333332,0.2463502858397633,18.940533333333335,1.9121346221783988
21,3,45.03896666666667,2.109320275191356,10.7098,0.26065363991319973
22,3,124.99676666666666,19.517815934764148,160.20586666666668,43.035098708999534
23,3,85.13686666666666,7.347148257884372,10.067266666666667,0.08484864956694008
24,3,97.23796666666667,65.82941980561073,164.32026666666667,125.1102058405042
25,3,135.45033333333333,14.47950115657764,225.2826,20.699457566805947
26,3,70.82503333333334,11.18579341054238,17.293333333333333,5.2081868642871605
27,3,108.53436666666667,8.410215697788813,16.90886666666667,1.6811422347122618
28,3,133.89666666666668,35.57761893442749,106.28460000000001,76.94541456617152
29,3,64.09923333333333,21.384943882398506,21.940066666666667,11.58450671255938
30,3,22.447433333333333,0.10119102397610842,20.705466666666666,1.0795799244767994
31,3,95.43690000000001,29.718489760921567,9.876733333333334,0.35253007436718603
32,3,47.92163333333333,9.876493507481962,14.576266666666667,1.8564564560832908
33,3,29.283033333333336,2.063578572124971,12.3352,0.4578029270330191
34,3,22.385366666666666,0.0964500043200266,20.638466666666666,0.9396846776091079
35,3,99.099,29.842967820074467,143.49773333333334,53.83566813417786
36,3,22.992066666666666,0.0939753868485429,21.155266666666666,2.205928107018299
37,3,51.0011,4.308571427979347,10.547,0.5498170968604021
38,3,175.49143333333333,79.23789816750147,292.93353333333334,130.873276013911
39,3,41.83886666666667,3.5346953621681916,10.897,0.17818720492785087
40,3,97.74966666666667,6.7606848102343395,10.996466666666667,1.6191401339394105
41,3,22.8924,0.11267723816281755,21.097,1.5937424760606707
42,3,22.3501,0.10273066728100115,20.526266666666665,1.1402985983212184
43,3,22.653133333333333,0.24936824844661654,21.235533333333333,1.7082409353874328
44,3,52.65486666666666,12.096913272539124,13.948266666666667,1.1645297305493465
45,3,86.44063333333334,22.16722423451645,129.12133333333333,29.508031168706147
46,3,127.13386666666666,22.322463866771816,194.39593333333335,35.85974525081478
47,3,30.060533333333332,3.3072902901519448,12.075,0.6709063720073025
48,3,128.66976666666667,16.25538446987131,112.9646,36.811174449615166
49,3,140.8458,19.475421830861592,97.1196,29.766872970468366
50,3,65.43243333333334,7.083267171534146,16.124266666666667,0.8899502083450135
51,3,51.67633333333333,1.4415565904026553,13.664,1.938901843828099
52,3,99.15573333333333,41.88032232950617,131.55306666666667,83.9868602119006
53,3,70.622,0.6471687260676272,10.325800000000001,0.05489043632546566
54,3,127.8667,12.582351869583047,184.01186666666666,29.549428835314792
55,3,22.562066666666666,0.08746572662096372,21.698533333333334,1.3352411966881976
56,3,22.4673,0.18274484944862404,19.924266666666668,1.1764559886937263
57,3,40.6131,4.120830643207753,18.862533333333335,13.148788896827469
58,3,50.95653333333333,27.8800463149424,43.291,54.66376046596135
59,3,22.425133333333335,0.06181426480460085,19.777333333333335,1.4693494115877723
60,3,40.56913333333333,4.569875943976304,16.6328,5.263064054331848
61,3,70.68016666666666,5.494042757690672,26.764666666666667,13.355698981832935
62,3,40.023133333333334,5.703497399257173,14.317266666666667,1.7456343870734605
63,3,22.390700000000002,0.1315225836120927,20.1732,1.0112788537292758
64,3,24.147066666666667,1.0960833742618912,14.7216,0.7374595039729303
65,3,25.281366666666667,1.9207692113664616,14.3694,1.500049559181296
