episode,reward,unexpected,expected,variance,actor_lr,abs_td
0,0.0,0.0,0.0312569456022048,0.6304065734148026,0.5,0.0
1,0.0,0.0,0.09440657091095205,0.4087103876200589,0.5,0.0
2,0.0,0.0,0.10795151571862426,0.3038516541322072,0.5,0.0
3,0.0,0.0,0.13970668818458698,0.27099907770752907,0.5,0.0
4,0.0,0.0,0.16479492497430218,0.216482637450099,0.5,0.0
5,0.0,0.0,0.17630008501812527,0.21000619232654572,0.5,0.0
6,0.0,0.0,0.19108505792772032,0.15589455834456853,0.5,0.0
7,0.0,0.0,0.2186431487006187,0.1515830124417941,0.5,0.0
8,0.0,0.0,0.2241756340829847,0.11096144765615464,0.5,0.0
9,0.0,0.0,0.2507687543278843,0.12983845580707898,0.5,0.0
10,0.0,0.0,0.25411673987527517,0.07327617606834362,0.5,0.0
11,0.0,0.0,0.2539197026753216,0.05968701280653477,0.5,0.0
12,0.0,0.0,0.2536846730181992,0.05866141989827156,0.5,0.0
13,0.0,0.0,0.2540319080602465,0.07491477951407433,0.5,0.0
14,0.0,0.0,0.2543136802905655,0.07328057289123535,0.5,0.0
15,0.0,0.0,0.2545331427708008,0.07171550206840038,0.5,0.0
16,0.0,0.0,0.25319843137875936,0.05168693065643311,0.5,0.0
17,0.0,0.0,0.25458492417529743,0.07215463403951038,0.5,0.0
18,0.0,0.0,0.25389358456249583,0.048403263092041016,0.5,0.0
19,0.0,0.0,0.2539703940409682,0.06679208452502887,0.5,0.0
20,0.0,0.0,0.2541160996752246,0.0675049789249897,0.5,0.0
21,0.0,0.0,0.2527556805241981,0.04345467065771421,0.5,0.0
22,0.0,0.0,0.25288400046011894,0.06650736834853888,0.5,0.0
23,0.0,0.0,0.24855566053988365,0.04768194430149519,0.5,0.0
24,0.0,0.0,0.2470889189035598,0.045342277735471725,0.5,0.0
25,0.0,0.0,0.24424578271543723,0.04521318944171071,0.5,0.0
26,0.0,0.0,0.24359221362297379,0.0546960823237896,0.5,0.0
27,0.0,0.0,0.24355783261266717,0.059755838165680565,0.5,0.0
28,0.0,0.0,0.2412796735057425,0.03937105163931846,0.5,0.0
29,0.0,0.0,0.24053778219467042,0.05409736212875162,0.5,0.0
30,0.0,0.0,0.2386324230335829,0.03117220103740692,0.5,0.0
31,0.0,0.0,0.2370938033521857,0.043806378915905955,0.5,0.0
32,0.0,0.0,0.23476414904270745,0.0395317313571771,0.5,0.0
33,0.0,0.0,0.23297771678450596,0.03640017053112388,0.5,0.0
34,0.0,0.0,0.22917447424420487,0.03795784451067448,0.5,0.0
35,0.0,0.0,0.22540038290686848,0.032962361350655556,0.5,0.0
36,0.0,0.0,0.22415405224552132,0.034258232762416206,0.5,0.0
37,0.0,0.0,0.22189404623274525,0.035205009703834854,0.5,0.0
38,0.0,0.0,0.22070729210316026,0.026384105905890465,0.5,0.0
39,0.0,0.0,0.21808842008601828,0.028479741141200065,0.5,0.0
40,0.0,0.0,0.21683879889129956,0.0353431929834187,0.5,0.0
41,0.0,0.0,0.2155658667374394,0.03463547257706523,0.5,0.0
42,0.0,0.0,0.2148005544199026,0.032085441052913666,0.5,0.0
43,0.0,0.0,0.21364957058929523,0.02469276450574398,0.5,0.0
44,0.0,0.0,0.2126079570092521,0.039330258344610534,0.5,0.0
45,0.0,0.0,0.21170515203020568,0.03378211955229441,0.5,0.0
46,0.0,0.0,0.2091103117012327,0.025656620040535927,0.5,0.0
47,0.0,0.0,0.2080757048169714,0.034313610289245844,0.5,0.0
48,0.0,0.0,0.20524023095701185,0.03003373765386641,0.5,0.0
49,0.0,0.0,0.20056958015322834,0.02309857764177852,0.5,0.0
50,0.0,0.0,0.20075216402823934,0.041510848328471184,0.5,0.0
51,0.0,0.0,0.19703349834516923,0.021623067557811737,0.5,0.0
52,0.0,0.0,0.19485402637730617,0.03362107463181019,0.5,0.0
53,0.0,0.0,0.1900635994408794,0.0265613595644633,0.5,0.0
54,0.0,0.0,0.18922756928117543,0.034122216049581766,0.5,0.0
55,0.0,0.0,0.18737296696837463,0.02063232846558094,0.5,0.0
56,0.0,0.0,0.18517686192965585,0.022802910457054775,0.5,0.0
57,1.0,0.094021,0.18529634003853568,0.03537888522259891,0.5,0.125
58,0.0,0.21323507902464933,0.1843086162442759,0.01846728567034006,0.5,0.05049995332956314
59,0.0,0.27609108442470137,0.18364997711658707,0.023422845639288425,0.5,0.049994856119155884
60,0.0,0.23731186600431833,0.18128602081339082,0.023870035773143172,0.5,0.013111114501953125
61,0.0,0.19728673131050672,0.17977232831635814,0.020830029854550958,0.5,0.025477148592472076
62,0.0,0.1434671700526956,0.17715593375457014,0.018533407244831324,0.5,0.01682359352707863
63,0.0,0.11516492323587302,0.17660248160959413,0.02794389184564352,0.5,0.019815491139888765
64,0.0,0.06381798658421428,0.17337728681299225,0.020696991123259068,0.5,0.010645638406276702
65,0.0,0.0676926122840189,0.17198832949408283,0.016077492386102676,0.5,0.03178059309720993
66,0.0,0.07046567108030657,0.17067700320796447,0.021564833447337152,0.5,0.020312704145908356
67,0.0,0.07740859519676793,0.16963961475286024,0.01887901748220126,0.5,0.031223041315873463
68,0.0,0.07798984472337742,0.16988050452987688,0.031223861314356328,0.5,0.01963791698217392
69,0.0,0.057992624267345666,0.16709070909089235,0.018291100743226707,0.5,0.012487777508795261
70,0.0,0.051975798650847595,0.164955369383731,0.017276395577937365,0.5,0.017065246899922688
71,0.0,0.02276187118723748,0.1611387738545226,0.018248437259059686,0.5,0.008658089316808261
72,0.0,0.02220853875442942,0.15842902889120075,0.016216554446145892,0.5,0.012389364652335644
73,0.0,0.03256660551245676,0.15683189004697098,0.013935759896412492,0.5,0.022455453872680664
74,0.0,0.04567395607518536,0.1561328387725745,0.014870233368128538,0.5,0.043695416301488876
75,0.0,0.017960332098494153,0.15134436475556884,0.015917091575615546,0.5,0.008386464241672964
76,0.0,0.013918204543330412,0.14876751615564185,0.0163897748359225,0.5,0.010620501231063496
77,0.0,0.022400184858816594,0.14961784619570703,0.027198038374384243,0.5,0.015892342974742252
78,0.0,0.0036811627880619802,0.14320569603552752,0.01472731526941061,0.5,0.005204873979091644
79,0.0,0.010698982677105808,0.14185172615203415,0.01467609933267037,0.5,0.016030479222536087
80,0.0,0.01881190231093343,0.14298659218748067,0.02560828732592719,0.5,0.013609828693526132
81,0.0,0.029887473065102768,0.14213212313000162,0.015084795420989394,0.5,0.02298467792570591
82,0.0,0.004509468322632241,0.13650840415373353,0.01334830183211876,0.5,0.0060219502319460326
83,0.0,0.014800905027902295,0.1359801008137861,0.012147469911724329,0.5,0.0406518429517746
84,0.0,0.009533869069663335,0.13354322252121067,0.014376459332803885,0.5,0.00886593759059906
85,0.0,0.003508813070229626,0.13031241463945714,0.016264284549410955,0.5,0.010795840690302294
86,0.0,0.013421836996968913,0.12993105223726872,0.01415418709317843,0.5,0.028451402982076008
87,0.0,0.023442856988768426,0.12868776796403555,0.011180003732442855,0.5,0.016246554255485535
88,0.0,0.002924688122798379,0.12382787573523509,0.011607005726546049,0.5,0.006338021097083886
89,0.0,0.004389923973784265,0.1234583229734523,0.015079476792986194,0.5,0.009456591680645943
90,0.0,0.0036461152513063057,0.12313224199483333,0.015157460966812713,0.5,0.007563297769853047
91,0.0,0.008243078294951226,0.12199097303280523,0.010199648700654507,0.5,0.01576392352581024
92,0.0,0.019771163753495163,0.12170184919562244,0.01294386542091767,0.5,0.026601483424504597
93,0.0,0.03006896963789052,0.1222444433475417,0.018080288358032704,0.5,0.017779333889484404
94,0.0,0.032565629332025586,0.12069865152442542,0.009221754968166351,0.5,0.015373321870962778
95,0.0,0.029738857417557378,0.1204432077608519,0.01390352596839269,0.5,0.01338149979710579
96,0.0,0.03151907910889235,0.11939259374678463,0.008828684454783797,0.5,0.01886802166700363
97,0.0,0.039265004289427564,0.11920335203657524,0.012455889489501715,0.5,0.03679441288113594
98,0.0,0.025965074033929676,0.11969981567089677,0.016168352216482162,0.5,0.010693229734897614
99,0.0,0.017247920249840964,0.11819887595326818,0.009736057770039355,0.5,0.01129779645374843
100,0.0,0.020741841693002812,0.11781079099449801,0.012091044220142066,0.5,0.01837439276278019
101,0.0,0.02540211937357409,0.11703215224308178,0.009878792217932642,0.5,0.01827770099043846
102,0.0,0.032483519849413556,0.11642206631370682,0.010573831968940794,0.5,0.02141625341027975
103,0.0,0.008218772426150829,0.11929264655869655,0.01944774578857635,0.5,0.00796908060354846
104,0.0,0.011793342049464658,0.11874959613285566,0.011363809113390744,0.5,0.018635022453963757
105,0.0,0.007948724360526611,0.11674401059278146,0.009254524122095771,0.5,0.010142207145690918
106,0.0,0.0025454665326653378,0.11918905652259688,0.018616224506071637,0.5,0.007871335904513086
107,0.0,0.0022953402022176726,0.11832798810852559,0.012867559069910875,0.5,0.00862373010470317
108,0.0,1.3067579975280152e-05,0.11459099549311513,0.010469375196844339,0.5,0.005521456897258759
109,0.0,0.002794193780535652,0.11369902591465843,0.008693941636011004,0.5,0.017376075498759747
110,0.0,0.003011483657480758,0.11566230935261375,0.0177606967785819,0.5,0.008704921061342413
111,0.0,0.006720579750752869,0.11505112411887533,0.010335946106351912,0.5,0.017149850726127625
112,0.0,0.00444255942938572,0.11286261272861424,0.009370058930168549,0.5,0.008847832679748535
113,0.0,0.011483735238813221,0.11236746692353913,0.0077865528874099255,0.5,0.03329291753470898
114,0.0,0.002210416216912271,0.11178296935913583,0.01226536356844008,0.5,0.0076819522306323055
115,1.0,0.10988194973389032,0.118179292265261,0.019250401088760957,0.5,0.044843513932493
116,0.0,0.14305540613134715,0.11524342030835871,0.009104812016280798,0.5,0.014058942978198711
117,0.0,0.030245964794787784,0.11179808048178011,0.00845893518999219,0.5,0.012220909198125204
118,0.0,0.03249914052580831,0.11034948388974458,0.008316457936806338,0.5,0.022251053580216
119,0.0,0.049936940271435665,0.1100838644413829,0.009719228837639093,0.5,0.06612341478466988
120,0.0,0.0723005946368817,0.10972018293649098,0.00985100291048487,0.5,0.04400413235028585
121,0.0,0.08985783974602732,0.10915983158054171,0.008523585895697275,0.5,0.04351684202750524
122,0.0,0.010048458861695014,0.10596663137471814,0.009335142318159342,0.5,0.012844239473342895
123,0.0,0.07508023387216803,0.10727126673758473,0.016303766252739087,0.5,0.06873602207217898
124,0.0,0.004750491572692206,0.10259931315584567,0.007899441859788366,0.5,0.00894521176815033
125,0.0,0.011193071399682241,0.10191384963796075,0.007472284487448633,0.5,0.03133728913962841
126,0.0,0.00804856522492865,0.10349108306916263,0.013229376977930467,0.5,0.014176567395528158
127,0.0,0.02114097355449518,0.10328240497671075,0.008941666688770056,0.5,0.060068193823099136
128,0.0,0.036755102729677774,0.10212906824263468,0.0071417284198105335,0.5,0.025599587708711624
129,0.0,0.017088245379269354,0.10033814338609606,0.00760384260987242,0.5,0.014885306358337402
130,0.0,0.024805454433237853,0.09956888742527956,0.0073338628746569155,0.5,0.027928239107131957
131,0.0,0.01622893458958638,0.09827980643469984,0.00786108532073823,0.5,0.01712579009207812
132,0.0,0.01657290475856741,0.09789417657772466,0.008659562872101864,0.5,0.01974617193142573
133,0.0,0.02688137332657574,0.09732682669362182,0.006247261073440313,0.5,0.03817334026098251
134,0.0,0.04101850325729724,0.09677471855117209,0.0062389918603003025,0.5,0.037809123595555626
135,0.0,0.0018508809408895291,0.09312651967528643,0.006433379099083443,0.5,0.00997951440513134
136,0.0,1.9681942107960744e-07,0.08876210786838931,0.006563928682447933,0.5,0.007643328389016594
137,0.0,0.005011447313152653,0.08880673653982787,0.008411779534071684,0.5,0.037805281579494476
138,0.0,0.0040696094961134265,0.08783331329991691,0.006616996834054589,0.5,0.012855706115563711
139,0.0,0.005711478401739989,0.08915846635295405,0.010841022757813335,0.5,0.0161512590944767
140,0.0,0.0008102503772127757,0.0859527767072855,0.006373457095928882,0.5,0.008638079229154084
