episode,reward,unexpected,expected,variance,td2,delta_var,actor_lr,abs_td
0,-500.0,0.0006695945275927515,0.9670260749212058,0.9157724478244782,0.9943757436275958,1.562013349844088e-05,0.0001000000000000008,0.9937723481655121
1,-500.0,1.6838835810400285e-05,0.9970558146672325,0.9847995240688324,1.0020963166369334,2.485023166291008e-07,0.0001000000000000008,0.9929069547653199
2,-500.0,0.12294975059683622,0.9798491067075876,0.9718208494186401,0.9892874524597186,1.8007297563136774e-06,0.0001000000000000008,0.9828538783788681
3,-500.0,0.0013273844846572287,0.9919303157116562,0.9941207535266876,1.0052574583586213,-4.051349492318381e-06,0.0001000000000000008,0.9886405851840973
4,-500.0,0.07723728063491142,0.9910760412519357,0.9827823882102966,0.9774836320238678,-4.798419170038565e-06,0.0001000000000000008,0.9706208045482636
5,-499.0,0.3341746289483038,0.9610576785134723,0.9443363592624664,0.9940237185974168,1.094540012714584e-05,0.0001000000000000008,0.977532374382019
6,-500.0,0.01249173305939234,0.9907470610214472,0.9952394201755523,1.0209790900797235,-2.4853841930590082e-06,0.0001000000000000008,0.9879905512332916
7,-500.0,0.08341164401035496,1.00558400540569,1.012954804301262,1.0245841664952338,-1.196626423337661e-05,0.0001000000000000008,0.9813449702262879
8,-500.0,0.0004420308519740095,0.98798581197548,1.0043263864517211,0.9926656407996152,-1.607573924262494e-05,0.0001000000000000008,0.9669359338283539
9,-500.0,6.250681867120578e-06,0.9981335922722995,0.9864420756101608,1.003576272064128,-8.194437133566035e-06,0.0001000000000000008,0.9726411011219025
10,-500.0,0.30366799540124145,0.9868379069164447,0.9746432237625122,0.9987213355784612,1.6777578235748232e-07,0.0001000000000000008,0.9666912059783935
11,-500.0,0.051865837033600086,0.9979044639824585,0.9993935984373092,1.004325888550687,-7.892523188821429e-06,0.0001000000000000008,0.9690982074737549
12,-500.0,0.30306667291315137,0.9911070816975999,0.9736162649393082,1.0011617849687537,-2.4128126254272302e-06,0.0001000000000000008,0.9649743025302887
13,-500.0,0.24403500342414,0.9974909692508067,1.0137355695962906,1.0103253888897583,-2.4253869085535796e-05,0.0001000000000000008,0.9651794924736022
14,-500.0,0.0891830762616462,1.0076383273029,1.0084897285103798,1.0278679360209344,-1.6315080547950822e-05,0.0001000000000000008,0.9749217138290406
15,-500.0,0.027587521516169368,1.0308757147528813,1.0410992377996444,1.0692963654724923,-2.2247506356815875e-05,0.0001000000000000008,0.9987263150215149
16,-500.0,0.6657226873409778,1.0103356494920623,1.0049615460634231,1.004386694217325,-2.1865324804901306e-05,0.0001000000000000008,0.968973021030426
17,-500.0,0.04544056119926195,1.0013877548131778,1.010717754662037,1.027431712514242,-1.6324226679830995e-05,0.0001000000000000008,0.9740207607746124
18,-500.0,0.1785694880305505,1.0048829994056285,1.0192235506772995,1.011267120187139,-2.6213144799141198e-05,0.0001000000000000008,0.9653168787956238
19,-500.0,0.18965174181076738,0.9982934757742336,1.0135434838533401,1.0353699007321493,-1.8570342210007005e-05,0.0001000000000000008,0.976628279209137
20,-500.0,0.3171632380729508,1.0034411350052643,1.0284964939951897,1.0188008227474985,-3.096029488468024e-05,0.0001000000000000008,0.9670720057487487
21,-500.0,0.2660818755309725,0.9900038762231463,1.015502162218094,1.0162758813039663,-2.8183820051625524e-05,0.0001000000000000008,0.963429134607315
22,-500.0,0.023280996080573442,1.0051069989831782,1.0039955666065217,1.0045006488110995,-2.1589790013242985e-05,0.0001000000000000008,0.9604600467681885
23,-500.0,0.273224192229109,0.9935193556769998,1.0049271314144135,1.0458395068605963,-9.304371365905845e-06,0.0001000000000000008,0.9828338532447815
24,-500.0,0.2581036125730757,1.0237296345563367,1.0452429720163345,1.0417888057317581,-3.115664548484821e-05,0.0001000000000000008,0.9787997303009033
