episode,reward,avg_surprise,mean_abs_td
0,15.0,1.0341329943518942e-10,0.9983771046002706
1,37.0,1.7531645754032985e-11,0.9983828663825989
2,15.0,1.7531645754032986e-41,0.9835623939832051
3,15.0,1.7531645754032988e-71,0.9902261217435201
4,18.0,1.7531645754032995e-107,0.9827785988648733
5,38.0,2.1797845226548953e-09,0.9763869627525932
6,56.0,7.513558170948278e-77,0.9600587210484913
7,13.0,7.51355817094828e-103,0.9276296037894028
8,13.0,0.00011630779113400428,1.016218703526717
9,14.0,1.0825663505830612e-08,0.9691601863929203
10,51.0,1.2169875457742548e-12,1.001079561663609
11,23.0,1.3450432159824805e-36,0.9683472565982653
12,19.0,2.2850079970453228e-23,0.9310495163265028
13,16.0,0.000332153337073189,1.012200966477394
14,20.0,0.0011251085304579992,1.0287436664104461
15,38.0,2.4203071131706896e-13,0.9668069011286685
16,41.0,5.830250567001325e-23,0.9722212771090065
17,43.0,0.0004100241790527718,1.0352559685707092
18,9.0,0.00010685273672095242,0.9108918044302199
19,25.0,0.00036508859730234345,1.0504723811149597
20,17.0,6.97863062652003e-05,0.9776867978713092
21,38.0,1.6588218493921421e-19,0.9043484110581247
22,33.0,1.2719063832296754e-18,0.9339787273695974
23,17.0,1.2719063832296759e-52,0.8155888669631061
24,18.0,1.2719063832296764e-88,0.7588119506835938
25,48.0,1.459718567053769e-06,0.8386840050419172
26,28.0,0.0005217332033241153,0.9959162473678589
27,35.0,2.0199084214991647e-16,0.8569350140435356
28,16.0,2.019908421499165e-48,0.8597231060266495
29,37.0,0.0003671995140407131,0.8987715566480482
30,14.0,0.03422470049161812,1.069161491734641
31,17.0,0.0006087381020738862,0.9353854796465706
32,12.0,0.00033859172552854437,0.9199052453041077
33,33.0,3.363586218187622e-07,0.8429675644094293
34,16.0,0.00046719872813998905,0.9329905137419701
35,40.0,1.873041291790761e-06,0.9648752987384797
36,12.0,0.001405229596591282,1.0721549491087596
37,42.0,7.941911390567213e-14,0.8037221119517372
38,27.0,7.941911390567215e-68,0.8632650242911445
39,54.0,0.00042488181023802663,1.0021084834028173
40,20.0,3.288111750114929e-08,0.9966194570064545
41,12.0,9.582987539126845e-05,0.8674028416474661
42,14.0,9.582987539126846e-33,0.7002751231193542
43,17.0,0.08096783744874402,1.001658657017876
44,69.0,7.8171373084534e-19,0.9184907588405885
45,47.0,0.03244358615312604,0.8815615633700756
46,21.0,0.04456583478600973,1.0012395211628504
47,17.0,0.17326853855982585,1.283821800175835
48,13.0,0.16741507885462792,1.222185465005728
49,12.0,1.9690684414902585e-18,0.6755017737547556
50,26.0,0.0001758183147853158,1.0569253242932832
51,33.0,3.005207049948625e-12,1.068878462820342
52,20.0,0.20007143802328783,1.2157186686992645
53,62.0,0.08234319761268204,1.2705324099909874
54,15.0,1.871217332219429e-12,0.9158640702565511
55,31.0,4.990850251934481e-20,1.0449649556990592
56,20.0,0.08775854569636493,1.1056780874729157
57,23.0,0.13730377294936635,1.182487684747447
