episode,reward,unexpected,expected,variance,td2,delta_var,actor_lr,abs_td
0,-500.0,0.01068585503021163,0.8687484656795881,0.7417546379566192,0.9961388072803454,7.020788728246588e-05,5.4999999999999683e-05,0.9955852103233337
1,-500.0,0.053123263414168224,0.9055229786659327,0.812653729557991,0.9844384815703563,4.792326672307558e-05,5.4999999999999683e-05,0.9804779598712922
2,-500.0,0.13462489318075993,0.9301185730151498,0.8588513443470002,1.0088329142160062,3.795438124416192e-05,5.4999999999999683e-05,0.9849773707389832
3,-500.0,0.03140254213246385,0.9488064913982565,0.901593064904213,1.0022769557712898,2.2877932362766767e-05,5.4999999999999683e-05,0.9676827664375305
4,-500.0,0.07209471637216747,0.972052643008724,0.9392351998090744,1.0828954504600166,1.7685302006466558e-05,5.4999999999999683e-05,0.9735495409965516
5,-500.0,0.25279727743940594,0.9791985872035026,0.9554893090724945,1.0214290043873382,-1.625753942918285e-05,5.4999999999999683e-05,0.9204682693481445
6,-500.0,0.31549529206241117,1.016637588670985,0.9962855174541473,1.2274144981704125,5.617040093059115e-06,5.4999999999999683e-05,0.961351309299469
7,-500.0,0.22336388205380947,1.0262581111131588,1.0549585319757462,1.1231515079105825,-5.47266656823316e-05,5.4999999999999683e-05,0.9443968214988708
8,-500.0,0.22410958918627605,1.0843535238012398,1.1476898583173751,1.4679169888975399,-3.40808126363872e-05,5.4999999999999683e-05,1.0346459398269654
9,-500.0,0.4481433622459314,1.1479833760251796,1.2625906145572663,1.6966006501464157,-5.840581411941636e-05,5.4999999999999683e-05,1.0889846506118774
10,-500.0,1.0999386592554945,1.175000674275074,1.3900639674663544,1.609129819668391,-0.00028619462591382785,5.4999999999999683e-05,1.0427728805541991
11,-364.0,0.4633483185329209,1.2113174131155147,1.4870587316277908,1.7801697408988537,-0.00022937272934141746,5.499999999999975e-05,1.1163903210261097
12,-500.0,1.0816997077216892,1.2327205424570324,1.5298323032855987,1.6446417037542806,-0.0004277779254327204,5.4999999999999683e-05,1.0414853801727295
13,-500.0,0.7402958984864223,1.3492629417255384,1.7482421462535858,2.4809478407029872,-0.000525251469742853,5.4999999999999683e-05,1.2037565441131592
14,-500.0,0.6509640918422221,1.3789832195290677,1.921731291770935,2.101673486310054,-0.0009078178442490103,5.4999999999999683e-05,1.1740736961364746
15,-500.0,0.9029556615590364,1.420894272997935,2.0853696904182435,2.342938233639674,-0.0012260527000358546,5.4999999999999683e-05,1.2009314956665038
16,-500.0,2.5701869405299655,1.55267305218922,2.38512677192688,3.2246435182131554,-0.0015818666592598844,5.4999999999999683e-05,1.3681233158111572
17,-500.0,0.8281659946182063,1.6310449557842452,2.78829536485672,3.2627014453873726,-0.0028446339714285566,5.4999999999999683e-05,1.3708592624664306
18,-500.0,1.4136968843948703,1.6642177881774334,2.8092032771110533,3.3231440814659563,-0.0027257797133036265,5.4999999999999683e-05,1.3738497371673584
19,-500.0,1.465876403339474,1.889461054358115,3.5371272644996643,4.839085311488707,-0.004768894004875798,5.4999999999999683e-05,1.702037197113037
20,-500.0,1.199152776715399,1.8771883870931376,3.8486200408935547,3.999441947879306,-0.006912681056334758,5.4999999999999683e-05,1.4858700065612793
21,-500.0,4.922612545105278,2.002716862378302,4.115172259330749,5.420922041541177,-0.007068693499471612,5.4999999999999683e-05,1.7274600563049316
22,-500.0,0.859531708611197,2.0754137401753083,4.6326301140785215,4.646415684241947,-0.010731582529024638,5.4999999999999683e-05,1.6167728042602538
23,-500.0,0.9750388895461949,2.1019930516365846,4.688559307098389,5.203520483571316,-0.010210248297296182,5.4999999999999683e-05,1.7561237525939941
24,-500.0,1.2203200035166621,2.0677909463904127,4.592105123996735,4.226479684885082,-0.010827239049757024,5.4999999999999683e-05,1.5000565338134766
25,-500.0,1.850370196578707,2.0660901733886274,4.48870748090744,5.1179544253264755,-0.00961478662752118,5.4999999999999683e-05,1.5992106094360352
26,-500.0,1.3111214184636784,2.1556476150353494,4.923890725135803,5.6307837969434695,-0.011284934066279546,5.4999999999999683e-05,1.7827776374816895
27,-500.0,1.4065109788196148,2.187213094237193,5.0481470689773555,4.934664164835515,-0.013441670876993016,5.4999999999999683e-05,1.6230886993408202
28,-500.0,1.4856763522203549,2.1536414530189525,4.8947028307914735,5.268496243337708,-0.012341355646642908,5.4999999999999683e-05,1.5765562133789062
29,-500.0,2.441445783161286,2.2206285798203727,5.1603457264900205,5.9294617261205635,-0.013352688597504799,5.4999999999999683e-05,1.7126872673034668
30,-500.0,1.9258091279123821,2.2553005531240564,5.527312604904175,5.163474811997767,-0.016907410266644336,5.4999999999999683e-05,1.6434070014953612
31,-500.0,2.2152490396690023,2.2330863472599654,5.2683546614646914,5.298689050763307,-0.01456190387711225,5.4999999999999683e-05,1.6850341873168946
32,-500.0,1.9532229075478265,2.272280717319353,5.429226498126984,6.362393954180494,-0.01498997773858756,5.4999999999999683e-05,1.8050902061462402
33,-500.0,1.574412390160374,2.3858435240557605,5.989289637565613,6.116069835693874,-0.02008116339591601,5.4999999999999683e-05,1.7822696113586425
34,-500.0,1.4420627627582567,2.3275316207870986,5.644987943172455,6.223471732644874,-0.016698743605378746,5.4999999999999683e-05,1.7347994232177735
35,-500.0,2.3836466230920266,2.3561211286260546,5.8640387325286865,5.6456346025511595,-0.019617654271714066,5.4999999999999683e-05,1.6690916290283204
36,-500.0,1.3702191675497457,2.4122207518962857,6.2518392481803895,7.034445128222818,-0.021753105057744148,5.4999999999999683e-05,1.924658977508545
37,-500.0,3.8396976083302388,2.458599522097727,6.276657483100891,7.638493670746808,-0.021240560873689113,5.4999999999999683e-05,1.9445963706970215
38,-500.0,1.115837548382288,2.615636870874007,7.086582513809204,7.682726054339044,-0.02990160919062665,5.4999999999999683e-05,2.039295967102051
39,-500.0,1.548642683289239,2.522626538202681,6.98480183506012,6.251473046076041,-0.030119429181356863,5.4999999999999683e-05,1.7959193687438966
40,-500.0,1.3386714728051963,2.5118002580917103,6.619996264457702,6.490569699610227,-0.025825371813879172,5.4999999999999683e-05,1.8714549522399901
41,-500.0,1.3463915389670378,2.501058235686559,6.377094991207123,7.689716813366671,-0.022249200643267873,5.4999999999999683e-05,1.949955421447754
42,-500.0,1.4915385847328868,2.7162017922527006,7.428673920631408,8.118826644586617,-0.03216612288463386,5.4999999999999683e-05,2.105656448364258
43,-500.0,2.0427482536129826,2.663769229688373,7.516448888778687,7.677263179969014,-0.03334739596031888,5.4999999999999683e-05,2.031851631164551
44,-500.0,1.7613834851117158,2.5612434380474265,7.048327498435974,7.382346801253203,-0.029757516517477555,5.4999999999999683e-05,1.8817531089782715
45,-500.0,1.909012832205081,2.722775725634062,7.437048855781555,8.240220004132082,-0.03186475200603355,5.4999999999999683e-05,2.0952225379943847
46,-500.0,1.289525686861167,2.7150008074957714,7.63583538389206,7.548233256306324,-0.03549863691311995,5.4999999999999683e-05,1.9556334991455078
47,-500.0,1.6811778122417005,2.695856263320315,7.617785853385925,8.141045309317574,-0.03537737107817121,5.4999999999999683e-05,2.001760513305664
48,-500.0,1.0460900311360946,2.850213679952573,8.236435791492463,7.898639300998686,-0.043599716778031844,5.4999999999999683e-05,1.9487585334777833
49,-483.0,1.2806316804329787,2.7455117230702144,7.805380508426793,7.543741551128748,-0.03827471770304482,5.499999999999969e-05,1.9545585892417214
50,-500.0,1.3417961118381023,2.729270715860777,7.500080668449402,7.240176998001254,-0.035209601101990826,5.4999999999999683e-05,1.8862452735900879
51,-500.0,1.3109486305125626,2.590704164471351,6.8782850942611695,6.391244313017473,-0.029501426655782165,5.4999999999999683e-05,1.7913627586364747
52,-500.0,2.174500738102367,2.613970108838737,6.946036054134369,6.7364560056568665,-0.030062302833154298,5.4999999999999683e-05,1.7998205604553223
53,-500.0,1.7668469843078056,2.665542379644419,6.902875005722046,7.38970751556362,-0.02814457056555908,5.4999999999999683e-05,1.8992527198791505
