Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -141.45; Last 100 Avg Ret: -82.42; Var: 0.00154990; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -593.74; Last 100 Avg Ret: -178.75; Var: 0.00151258; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -364.75; Last 100 Avg Ret: -221.31; Var: 0.00204910; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -375.63; Last 100 Avg Ret: -220.86; Var: 0.00194770; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -260.77; Last 100 Avg Ret: -214.05; Var: 0.00203518; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -458.58; Last 100 Avg Ret: -225.20; Var: 0.00292136; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -184.82; Last 100 Avg Ret: -222.30; Var: 0.00199996; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -193.13; Last 100 Avg Ret: -216.03; Var: 0.00128939; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -146.92; Last 100 Avg Ret: -211.14; Var: 0.00202183; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -93.44; Last 100 Avg Ret: -208.97; Var: 0.00062992; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -179.66; Last 100 Avg Ret: -214.87; Var: 0.00217135; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -99.90; Last 100 Avg Ret: -203.50; Var: 0.00188935; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -183.82; Last 100 Avg Ret: -188.55; Var: 0.00040261; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
140: Ret: -275.83; Last 100 Avg Ret: -189.62; Var: 0.00248479; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
150: Ret: -293.31; Last 100 Avg Ret: -196.35; Var: 0.00077651; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
160: Ret: -334.55; Last 100 Avg Ret: -188.11; Var: 0.00107782; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
170: Ret: -42.23; Last 100 Avg Ret: -181.59; Var: 0.00095923; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
180: Ret: -88.85; Last 100 Avg Ret: -180.57; Var: 0.00063045; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
190: Ret: -128.10; Last 100 Avg Ret: -182.29; Var: 0.00147158; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
200: Ret: -107.85; Last 100 Avg Ret: -181.17; Var: 0.00063744; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
210: Ret: -133.92; Last 100 Avg Ret: -182.06; Var: 0.00203050; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
220: Ret: -141.29; Last 100 Avg Ret: -178.76; Var: 0.00018353; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
230: Ret: -59.21; Last 100 Avg Ret: -172.79; Var: 0.00014156; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
240: Ret: -240.31; Last 100 Avg Ret: -163.35; Var: 0.00071042; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
