episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,19.0,5.2111932663282294e-05,0.14480143339638468,0.6938712032217729,0.9992326275913227,2.8044690738760597e-05,1e-05,0.9996149288980585
1,57.0,0.00013503704905529345,0.4456925112057178,0.6966764194923535,0.9988065512148524,2.7503524314734767e-05,1.0000000000000014e-05,0.999383082515315
2,11.0,1.159959418881667e-05,0.48651534176076006,0.6984849843111905,0.9959386238821792,2.6926306152900448e-05,1e-05,0.9979206811298024
3,34.0,4.750860226846808e-05,0.5877680970955484,0.6994163691997528,0.9942779148975796,2.6611571688395062e-05,1.0000000000000008e-05,0.997091622913585
4,45.0,0.010879294936591488,0.6786913733051355,0.7017069247033861,0.9985339475651269,2.6596475649040412e-05,1.0000000000000011e-05,0.9991945796542697
5,13.0,0.002192773944234465,0.6982922922776387,0.7035225859055152,0.9942833574432597,2.593205603589499e-05,1e-05,0.9969713458648095
6,39.0,1.3751232017276429e-05,0.7443524505459022,0.7062137768818781,0.988325011997415,2.4975026392321238e-05,1.000000000000001e-05,0.9939323862393697
7,13.0,7.559819749620533e-07,0.7560835004280565,0.7058928975692162,0.9783784514867307,2.4153937788061697e-05,1e-05,0.9889337833111103
8,77.0,0.0003007768670037536,0.8027687242779642,0.7099367310474445,0.998519563546599,2.5308875433305544e-05,1.0000000000000018e-05,0.9988660796896204
9,12.0,2.0669228914791424e-05,0.807397282345642,0.7116380035877228,0.9549063000729644,2.1404632163865143e-05,1e-05,0.9767057200272878
10,14.0,9.090423011590839e-07,0.8122039273947164,0.7124954674925122,0.9551312093863731,2.1188275575102716e-05,1e-05,0.9769780763557979
11,31.0,0.0013627222874929752,0.820927792582071,0.7137751560057363,0.9950625096457946,2.4356051736100896e-05,1.0000000000000006e-05,0.9970972672585519
12,28.0,2.6358882533033124e-06,0.8272356509933021,0.716921574303082,0.9739155083530918,2.2125345613468297e-05,1.0000000000000003e-05,0.9863276822226388
13,20.0,3.0389722509739716e-08,0.8307038647999386,0.71631560921669,0.970483346910054,2.1999906863407557e-05,1e-05,0.9844332963228226
14,30.0,0.0002863206262563945,0.8349980704911246,0.7179340819517771,0.980738894120878,2.262899120024418e-05,1.0000000000000004e-05,0.9895323634147644
15,18.0,0.008733102824145534,0.8371126039653772,0.7188985612657335,0.984532071151637,2.281554772832942e-05,1e-05,0.9913467533058591
16,20.0,0.00025990928322268967,0.8391582081572567,0.7198539108037949,0.9731893814229379,2.1940631102712228e-05,1e-05,0.985220929980278
17,35.0,0.005801284670216712,0.842130844958343,0.7212912627628871,0.9889524911400396,2.2796107107483866e-05,1.0000000000000008e-05,0.9935949768338884
18,22.0,0.0003076674617735265,0.8437476104118815,0.7232157425446943,0.964867343259659,2.0683986769630713e-05,1e-05,0.9811093725941398
19,12.0,2.1142746981770037e-05,0.8443913621098871,0.7216473470131556,0.9615418844142877,2.0651112621048994e-05,1e-05,0.9793330778678259
20,61.0,0.010796609120777262,0.8475893600867339,0.7249868473068612,0.993491887603546,2.265283510709578e-05,1.0000000000000016e-05,0.9957317612210258
